Path,AcquisitionMatrixPE,AcquisitionNumber,AcquisitionTime,BandwidthPerPixelPhaseEncode,BaseResolution,BidsGuess,BodyPart,CoilCombinationMethod,CoilString,ConsistencyInfo,ConversionSoftware,ConversionSoftwareVersion,DelayTime,DerivedVendorReportedEchoSpacing,DeviceSerialNumber,DwellTime,EchoTime,EchoTrainLength,EffectiveEchoSpacing,FlipAngle,ImageComments,ImageOrientationPatientDICOM,ImageOrientationText,ImageType,ImagingFrequency,InPlanePhaseEncodingDirectionDICOM,InstitutionAddress,InstitutionName,InstitutionalDepartmentName,Interpolation2D,MRAcquisitionType,MagneticFieldStrength,Manufacturer,ManufacturersModelName,MatrixCoilMode,Modality,MultibandAccelerationFactor,NonlinearGradientCorrection,ParallelReductionFactorInPlane,PartialFourier,PatientPosition,PercentPhaseFOV,PercentSampling,PhaseEncodingDirection,PhaseEncodingSteps,PhaseOversampling,PhaseResolution,PixelBandwidth,ProcedureStepDescription,ProtocolName,PulseSequenceDetails,ReceiveCoilActiveElements,ReceiveCoilName,ReconMatrixPE,RefLinesPE,RepetitionTime,SAR,ScanOptions,ScanningSequence,SequenceName,SequenceVariant,SeriesDescription,SeriesNumber,ShimSetting,SliceThickness,SliceTiming,SoftwareVersions,SpacingBetweenSlices,StationName,StudyDescription,TablePosition,TotalReadoutTime,TxRefAmp,VendorReportedEchoSpacing,WipMemBlock,Error
dcm_qa_canon/Ref/DTI_AP-ortho_10000.json,80,8,10:26:4.000000,,,,,,32ch Head SPDR,,dcm2niix,v1.0.20200909,,,9143,,0.079,30,,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'GDC']",123.208,COL,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,,,HFS,100,,,20,,,1563,,DTI_AP-ortho,,,,80,,10,0.046,PFP\NONE\S2_0,SE\EP,SEEPI2D+0.7,NONE,DTI_AP-ortho,10000,,3,,V6.0SP2000*,3,Galan 3T,,,,,,,
dcm_qa_canon/Ref/DTI_PA-ALL_20d_14000.json,80,12,10:38:42.000000,,,,,,32ch Head SPDR,,dcm2niix,v1.0.20200909,,,9143,,0.079,30,,90,,"[0.88722, 0.297336, -0.35275, -0.104804, 0.874516, 0.473538]",,"['ORIGINAL', 'PRIMARY', 'GDC']",123.208,COL,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,,,HFS,100,,,20,,,1563,,DTI_PA-ALL_20d,,,,80,,10,0.044,PFP\NONE\S2_0,SE\EP,SEEPI2D+0.7,NONE,DTI_PA-ALL_20d,14000,,3,,V6.0SP2000*,3,Galan 3T,,,,,,,
dcm_qa_canon/Ref/DTI_PA-AX_20d_12000.json,80,10,10:32:23.000000,,,,,,32ch Head SPDR,,dcm2niix,v1.0.20200909,,,9143,,0.079,30,,90,,"[0.939904, 0.341439, 0, -0.341439, 0.939904, 0]",,"['ORIGINAL', 'PRIMARY', 'GDC']",123.208,COL,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,,,HFS,100,,,20,,,1563,,DTI_PA-AX_20d,,,,80,,10,0.044,PFP\NONE\S2_0,SE\EP,SEEPI2D+0.7,NONE,DTI_PA-AX_20d,12000,,3,,V6.0SP2000*,3,Galan 3T,,,,,,,
dcm_qa_canon/Ref/DTI_PA-COR_20d_13000.json,80,11,10:35:32.000000,,,,,,32ch Head SPDR,,dcm2niix,v1.0.20200909,,,9143,,0.079,30,,90,,"[0.939396, 0, -0.342834, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'GDC']",123.208,COL,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,,,HFS,100,,,20,,,1563,,DTI_PA-COR_20d,,,,80,,10,0.044,PFP\NONE\S2_0,SE\EP,SEEPI2D+0.7,NONE,DTI_PA-COR_20d,13000,,3,,V6.0SP2000*,3,Galan 3T,,,,,,,
dcm_qa_canon/Ref/DTI_PA-SAG_20d_11000.json,80,9,10:29:13.000000,,,,,,32ch Head SPDR,,dcm2niix,v1.0.20200909,,,9143,,0.079,30,,90,,"[1, 0, 0, 0, 0.939743, 0.341881]",,"['ORIGINAL', 'PRIMARY', 'GDC']",123.208,COL,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,,,HFS,100,,,20,,,1563,,DTI_PA-SAG_20d,,,,80,,10,0.044,PFP\NONE\S2_0,SE\EP,SEEPI2D+0.7,NONE,DTI_PA-SAG_20d,11000,,3,,V6.0SP2000*,3,Galan 3T,,,,,,,
dcm_qa_canon/Ref/DTI_PA-ortho-HT-VT_33000.json,80,25,12:25:37.000000,,,,,,32ch Head SPDR,,dcm2niix,v1.0.20200909,,,9143,,0.079,30,,90,,"[0.879108, -0.476623, 0, 0.476623, 0.879108, 0]",,"['ORIGINAL', 'PRIMARY', 'GDC']",123.209,COL,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,,,HFS,100,,,20,,,1563,,DTI_PA-ortho-HT-VT,,,,80,,10,0.021,PFP\NONE\S2_0,SE\EP,SEEPI2D+0.7,NONE,DTI_PA-ortho-HT-VT,33000,,3,,V6.0SP2000*,3,Galan 3T,,,,,,,
dcm_qa_canon/Ref/DTI_PA-ortho-HT_32000.json,80,24,12:19:18.000000,,,,,,32ch Head SPDR,,dcm2niix,v1.0.20200909,,,9143,,0.079,30,,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'GDC']",123.209,COL,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,,,HFS,100,,,20,,,1563,,DTI_PA-ortho-HT,,,,80,,10,0.023,PFP\NONE\S2_0,SE\EP,SEEPI2D+0.7,NONE,DTI_PA-ortho-HT,32000,,3,,V6.0SP2000*,3,Galan 3T,,,,,,,
dcm_qa_canon/Ref/DTI_PA-ortho_9000.json,80,7,10:22:54.000000,,,,,,32ch Head SPDR,,dcm2niix,v1.0.20200909,,,9143,,0.079,30,,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'GDC']",123.208,COL,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,,,HFS,100,,,20,,,1563,,DTI_PA-ortho,,,,80,,10,0.078,PFP\NONE\S2_0,SE\EP,SEEPI2D+0.7,NONE,DTI_PA-ortho,9000,,3,,V6.0SP2000*,3,Galan 3T,,,,,,,
dcm_qa_canon/Ref/SAG_DTI_PA-ALL_20d_39000.json,80,38,12:46:7.000000,,,,,,32ch Head SPDR,,dcm2niix,v1.0.20200909,,,9143,,0.079,30,,90,,"[0.342076, 0.88288, 0.321724, 0.321866, 0.211578, -0.922842]",,"['ORIGINAL', 'PRIMARY', 'GDC']",123.209,ROW,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,,,HFS,100,,,20,,,1563,,SAG_DTI_PA-ALL_20d,,,,80,,10,0.032,PFP\NONE\S2_0,SE\EP,SEEPI2D+0.7,NONE,SAG_DTI_PA-ALL_20d,39000,,3,,V6.0SP2000*,3,Galan 3T,,,,,,,
dcm_qa_canon/Ref/SAG_DTI_PA-COR_20d_38000.json,80,37,12:42:58.000000,,,,,,32ch Head SPDR,,dcm2niix,v1.0.20200909,,,9143,,0.079,30,,90,,"[0, 1, 0, 0.34253, 0, -0.939507]",,"['ORIGINAL', 'PRIMARY', 'GDC']",123.209,ROW,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,,,HFS,100,,,20,,,1563,,SAG_DTI_PA-COR_20d,,,,80,,10,0.032,PFP\NONE\S2_0,SE\EP,SEEPI2D+0.7,NONE,SAG_DTI_PA-COR_20d,38000,,3,,V6.0SP2000*,3,Galan 3T,,,,,,,
