Path,AcquisitionMatrixPE,AcquisitionNumber,AcquisitionTime,BandwidthPerPixelPhaseEncode,BaseResolution,BidsGuess,BodyPart,CoilCombinationMethod,CoilString,ConsistencyInfo,ConversionSoftware,ConversionSoftwareVersion,DelayTime,DerivedVendorReportedEchoSpacing,DeviceSerialNumber,DwellTime,EchoTime,EchoTrainLength,EffectiveEchoSpacing,FlipAngle,ImageComments,ImageOrientationPatientDICOM,ImageOrientationText,ImageType,ImagingFrequency,InPlanePhaseEncodingDirectionDICOM,InstitutionAddress,InstitutionName,InstitutionalDepartmentName,Interpolation2D,MRAcquisitionType,MagneticFieldStrength,Manufacturer,ManufacturersModelName,MatrixCoilMode,Modality,MultibandAccelerationFactor,NonlinearGradientCorrection,ParallelReductionFactorInPlane,PartialFourier,PatientPosition,PercentPhaseFOV,PercentSampling,PhaseEncodingDirection,PhaseEncodingSteps,PhaseOversampling,PhaseResolution,PixelBandwidth,ProcedureStepDescription,ProtocolName,PulseSequenceDetails,ReceiveCoilActiveElements,ReceiveCoilName,ReconMatrixPE,RefLinesPE,RepetitionTime,SAR,ScanOptions,ScanningSequence,SequenceName,SequenceVariant,SeriesDescription,SeriesNumber,ShimSetting,SliceThickness,SliceTiming,SoftwareVersions,SpacingBetweenSlices,StationName,StudyDescription,TablePosition,TotalReadoutTime,TxRefAmp,VendorReportedEchoSpacing,WipMemBlock,Error
dcm_qa_canon_61/Ref/10000_SAG_DTI_PA-COR_20d_cl.json,80,8,16:02:32.000000,,,,HEAD,,32ch Head SPDR,,dcm2niix,v1.0.20260416,,,9143,,0.079,30,,90,,"[0, 1, 0, 0.34253, 0, -0.939507]",,"['ORIGINAL', 'PRIMARY', 'GDC']",123.2086343,ROW,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,2,,HFS,100,,,20,,,1563,,SAG_DTI_PA-COR_20d,,,,80,,10,0.031,PFP\NONE,SE\EP,SEEPI2D+0.7,NONE,SAG_DTI_PA-COR_20d,10000,,3,,V6.1SP3002*,3,Galan 3T,TEST 3TC,,,,,,
dcm_qa_canon_61/Ref/10000_SAG_DTI_PA-COR_20d_enh.json,,1,16:02:32.000000,,,,HEAD,,32ch Head SPDR,,dcm2niix,v1.0.20260416,,,9143,,0.079,30,,90,,"[0, 1, 0, 0.34253, 0, -0.939507]",,"['ORIGINAL', 'PRIMARY', 'GDC', 'NONE', 'MAGNITUDE']",123.2086344,ROW,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,2,,HFS,100,100,,80,,,1562.5,,SAG_DTI_PA-COR_20d,,,,80,,10,,,,,,SAG_DTI_PA-COR_20d,10000,,3,,V6.1SP3002*,,Galan 3T,TEST 3TC,,,,,,
dcm_qa_canon_61/Ref/11000_SAG_DTI_PA-ALL_20d_cl.json,80,9,16:05:29.000000,,,,HEAD,,32ch Head SPDR,,dcm2niix,v1.0.20260416,,,9143,,0.079,30,,90,,"[0.342076, 0.88288, 0.321724, 0.321866, 0.211578, -0.922842]",,"['ORIGINAL', 'PRIMARY', 'GDC']",123.2086343,ROW,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,2,,HFS,100,,,20,,,1563,,SAG_DTI_PA-ALL_20d,,,,80,,10,0.032,PFP\NONE,SE\EP,SEEPI2D+0.7,NONE,SAG_DTI_PA-ALL_20d,11000,,3,,V6.1SP3002*,3,Galan 3T,TEST 3TC,,,,,,
dcm_qa_canon_61/Ref/11000_SAG_DTI_PA-ALL_20d_enh.json,,1,16:05:29.000000,,,,HEAD,,32ch Head SPDR,,dcm2niix,v1.0.20260416,,,9143,,0.079,30,,90,,"[0.342076, 0.88288, 0.321724, 0.321866, 0.211578, -0.922842]",,"['ORIGINAL', 'PRIMARY', 'GDC', 'NONE', 'MAGNITUDE']",123.2086344,ROW,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,2,,HFS,100,100,,80,,,1562.5,,SAG_DTI_PA-ALL_20d,,,,80,,10,,,,,,SAG_DTI_PA-ALL_20d,11000,,3,,V6.1SP3002*,,Galan 3T,TEST 3TC,,,,,,
dcm_qa_canon_61/Ref/14000_DTI_PA-ortho-HT_cl.json,80,14,16:10:54.000000,,,,HEAD,,32ch Head SPDR,,dcm2niix,v1.0.20260416,,,9143,,0.079,30,,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'GDC']",123.2087535,COL,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,2,,HFS,100,,,20,,,1563,,DTI_PA-ortho-HT,,,,80,,10,0.023,PFP\NONE,SE\EP,SEEPI2D+0.7,NONE,DTI_PA-ortho-HT,14000,,3,,V6.1SP3002*,3,Galan 3T,TEST 3TC,,,,,,
dcm_qa_canon_61/Ref/14000_DTI_PA-ortho-HT_enh.json,,1,16:10:54.000000,,,,HEAD,,32ch Head SPDR,,dcm2niix,v1.0.20260416,,,9143,,0.079,30,,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'GDC', 'NONE', 'MAGNITUDE']",123.2087535,COL,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,2,,HFS,100,100,,80,,,1562.5,,DTI_PA-ortho-HT,,,,80,,10,,,,,,DTI_PA-ortho-HT,14000,,3,,V6.1SP3002*,,Galan 3T,TEST 3TC,,,,,,
dcm_qa_canon_61/Ref/15000_DTI_PA-ortho-HT-VT_cl.json,80,15,16:13:51.000000,,,,HEAD,,32ch Head SPDR,,dcm2niix,v1.0.20260416,,,9143,,0.079,30,,90,,"[0.879108, -0.476623, 0, 0.476623, 0.879108, 0]",,"['ORIGINAL', 'PRIMARY', 'GDC']",123.2087535,COL,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,2,,HFS,100,,,20,,,1563,,DTI_PA-ortho-HT-VT,,,,80,,10,0.031,PFP\NONE,SE\EP,SEEPI2D+0.7,NONE,DTI_PA-ortho-HT-VT,15000,,3,,V6.1SP3002*,3,Galan 3T,TEST 3TC,,,,,,
dcm_qa_canon_61/Ref/15000_DTI_PA-ortho-HT-VT_enh.json,,1,16:13:51.000000,,,,HEAD,,32ch Head SPDR,,dcm2niix,v1.0.20260416,,,9143,,0.079,30,,90,,"[0.879108, -0.476623, 0, 0.476623, 0.879108, 0]",,"['ORIGINAL', 'PRIMARY', 'GDC', 'NONE', 'MAGNITUDE']",123.2087535,COL,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,2,,HFS,100,100,,80,,,1562.5,,DTI_PA-ortho-HT-VT,,,,80,,10,,,,,,DTI_PA-ortho-HT-VT,15000,,3,,V6.1SP3002*,,Galan 3T,TEST 3TC,,,,,,
dcm_qa_canon_61/Ref/3000_DTI_PA-ortho_cl.json,80,1,15:41:43.000000,,,,HEAD,,32ch Head SPDR,,dcm2niix,v1.0.20260416,,,9143,,0.079,30,,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'GDC']",123.2086343,COL,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,2,,HFS,100,,,20,,,1563,,DTI_PA-ortho,,,,80,,10,0.02,PFP\NONE,SE\EP,SEEPI2D+0.7,NONE,DTI_PA-ortho,3000,,3,,V6.1SP3002*,3,Galan 3T,TEST 3TC,,,,,,
dcm_qa_canon_61/Ref/3000_DTI_PA-ortho_enh.json,,1,15:41:43.000000,,,,HEAD,,32ch Head SPDR,,dcm2niix,v1.0.20260416,,,9143,,0.079,30,,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'GDC', 'NONE', 'MAGNITUDE']",123.2086344,COL,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,2,,HFS,100,100,,80,,,1562.5,,DTI_PA-ortho,,,,80,,10,,,,,,DTI_PA-ortho,3000,,3,,V6.1SP3002*,,Galan 3T,TEST 3TC,,,,,,
dcm_qa_canon_61/Ref/4000_DTI_AP-ortho_cl.json,80,2,15:44:41.000000,,,,HEAD,,32ch Head SPDR,,dcm2niix,v1.0.20260416,,,9143,,0.079,30,,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'GDC']",123.2086343,COL,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,2,,HFS,100,,,20,,,1563,,DTI_AP-ortho,,,,80,,10,0.031,PFP\NONE,SE\EP,SEEPI2D+0.7,NONE,DTI_AP-ortho,4000,,3,,V6.1SP3002*,3,Galan 3T,TEST 3TC,,,,,,
dcm_qa_canon_61/Ref/4000_DTI_AP-ortho_enh.json,,1,15:44:41.000000,,,,HEAD,,32ch Head SPDR,,dcm2niix,v1.0.20260416,,,9143,,0.079,30,,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'GDC', 'NONE', 'MAGNITUDE']",123.2086344,COL,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,2,,HFS,100,100,,80,,,1562.5,,DTI_AP-ortho,,,,80,,10,,,,,,DTI_AP-ortho,4000,,3,,V6.1SP3002*,,Galan 3T,TEST 3TC,,,,,,
dcm_qa_canon_61/Ref/5000_DTI_PA-SAG_20d_cl.json,80,3,15:47:38.000000,,,,HEAD,,32ch Head SPDR,,dcm2niix,v1.0.20260416,,,9143,,0.079,30,,90,,"[1, 0, 0, 0, 0.939743, 0.341881]",,"['ORIGINAL', 'PRIMARY', 'GDC']",123.2086343,COL,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,2,,HFS,100,,,20,,,1563,,DTI_PA-SAG_20d,,,,80,,10,0.032,PFP\NONE,SE\EP,SEEPI2D+0.7,NONE,DTI_PA-SAG_20d,5000,,3,,V6.1SP3002*,3,Galan 3T,TEST 3TC,,,,,,
dcm_qa_canon_61/Ref/5000_DTI_PA-SAG_20d_enh.json,,1,15:47:38.000000,,,,HEAD,,32ch Head SPDR,,dcm2niix,v1.0.20260416,,,9143,,0.079,30,,90,,"[1, 0, 0, 0, 0.939743, 0.341881]",,"['ORIGINAL', 'PRIMARY', 'GDC', 'NONE', 'MAGNITUDE']",123.2086344,COL,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,2,,HFS,100,100,,80,,,1562.5,,DTI_PA-SAG_20d,,,,80,,10,,,,,,DTI_PA-SAG_20d,5000,,3,,V6.1SP3002*,,Galan 3T,TEST 3TC,,,,,,
dcm_qa_canon_61/Ref/6000_DTI_PA-AX_20d_cl.json,80,4,15:50:36.000000,,,,HEAD,,32ch Head SPDR,,dcm2niix,v1.0.20260416,,,9143,,0.079,30,,90,,"[0.939904, 0.341439, 0, -0.341439, 0.939904, 0]",,"['ORIGINAL', 'PRIMARY', 'GDC']",123.2086343,COL,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,2,,HFS,100,,,20,,,1563,,DTI_PA-AX_20d,,,,80,,10,0.032,PFP\NONE,SE\EP,SEEPI2D+0.7,NONE,DTI_PA-AX_20d,6000,,3,,V6.1SP3002*,3,Galan 3T,TEST 3TC,,,,,,
dcm_qa_canon_61/Ref/6000_DTI_PA-AX_20d_enh.json,,1,15:50:36.000000,,,,HEAD,,32ch Head SPDR,,dcm2niix,v1.0.20260416,,,9143,,0.079,30,,90,,"[0.939904, 0.341439, 0, -0.341439, 0.939904, 0]",,"['ORIGINAL', 'PRIMARY', 'GDC', 'NONE', 'MAGNITUDE']",123.2086344,COL,-------------,GHU,Recherche,,2D,3,Canon,Galan 3T,,MR,,,2,,HFS,100,100,,80,,,1562.5,,DTI_PA-AX_20d,,,,80,,10,,,,,,DTI_PA-AX_20d,6000,,3,,V6.1SP3002*,,Galan 3T,TEST 3TC,,,,,,
