Path,AcquisitionMatrixPE,AcquisitionNumber,AcquisitionTime,BandwidthPerPixelPhaseEncode,BaseResolution,BidsGuess,BodyPart,CoilCombinationMethod,CoilString,ConsistencyInfo,ConversionSoftware,ConversionSoftwareVersion,DelayTime,DerivedVendorReportedEchoSpacing,DeviceSerialNumber,DwellTime,EchoTime,EchoTrainLength,EffectiveEchoSpacing,FlipAngle,ImageComments,ImageOrientationPatientDICOM,ImageOrientationText,ImageType,ImagingFrequency,InPlanePhaseEncodingDirectionDICOM,InstitutionAddress,InstitutionName,InstitutionalDepartmentName,Interpolation2D,MRAcquisitionType,MagneticFieldStrength,Manufacturer,ManufacturersModelName,MatrixCoilMode,Modality,MultibandAccelerationFactor,NonlinearGradientCorrection,ParallelReductionFactorInPlane,PartialFourier,PatientPosition,PercentPhaseFOV,PercentSampling,PhaseEncodingDirection,PhaseEncodingSteps,PhaseOversampling,PhaseResolution,PixelBandwidth,ProcedureStepDescription,ProtocolName,PulseSequenceDetails,ReceiveCoilActiveElements,ReceiveCoilName,ReconMatrixPE,RefLinesPE,RepetitionTime,SAR,ScanOptions,ScanningSequence,SequenceName,SequenceVariant,SeriesDescription,SeriesNumber,ShimSetting,SliceThickness,SliceTiming,SoftwareVersions,SpacingBetweenSlices,StationName,StudyDescription,TablePosition,TotalReadoutTime,TxRefAmp,VendorReportedEchoSpacing,WipMemBlock,Error
dcm_qa_cs_dl/Ref/GE_10_MPRAGE_P2S1H1.24.json,260,1,08:29:43.000000,,,,,,48HAP,,dcm2niix,v1.0.20230404,,,0000000LXTT17NET,,0.002228,,,8,,"[0.99858, 0.01806, 0.0502, -0.00639, 0.97469, -0.22348]",,"['ORIGINAL', 'PRIMARY', 'OTHER']",127.622786,ROW,,GEHC,,,3D,3,GE,SIGNA Architect,,MR,,,2,,HFS,100,79.2657,,,,,244.141,,Brain Advanced Sequences,,,,512,,2.4279,0.0791146,EDR_GEMS\HYPERSENSE_GEMS\FILTERED_GEMS\ACC_GEMS\PFP\FSP_GEMS\IR_GEMS,RM\IR,,NONE,MPRAGE_P2S1H1.24,10,"[0, 0, 0]",1.25,,30\LX\SIGNA_LX1.MR30.1_DA_2305.a,1,SWLt17,,,,,,,
dcm_qa_cs_dl/Ref/GE_13_Ax_T2_FLAIR_FS_DL_High.json,200,1,13:42:53.000000,,,,,,HNS Head,,dcm2niix,v1.0.20230404,,,0000000LXTT10NET,,0.13296,21,,160,,"[0.84844, -0.52371, 0.07665, 0.52874, 0.84524, -0.07752]",,"['ORIGINAL', 'PRIMARY', 'OTHER']",127.622768,ROW,,GEHC,,,2D,3,GE,Discovery MR750,,MR,,,2,,HFS,90,100,,,,,162.773,,Brain Routine,,,,512,,10,0.482,FAST_GEMS\SAT_GEMS\EDR_GEMS\TRF_GEMS\FILTERED_GEMS\ACC_GEMS\FS\FSA_GEMS\T2FLAIR_GEMS,SE\IR,,SK,Ax T2 FLAIR FS DL High,13,"[0, 0, 0]",4,,30\LX\SIGNA_LX1.MR30.1_DA_2305.d,4.4,SWLt10,,,,,,,
dcm_qa_cs_dl/Ref/GE_14_Ax_T2_FLAIR_FS_DL_Off.json,200,1,13:45:22.000000,,,,,,HNS Head,,dcm2niix,v1.0.20230404,,,0000000LXTT10NET,,0.13296,21,,160,,"[0.84844, -0.52371, 0.07665, 0.52874, 0.84524, -0.07752]",,"['ORIGINAL', 'PRIMARY', 'OTHER']",127.622768,ROW,,GEHC,,,2D,3,GE,Discovery MR750,,MR,,,2,,HFS,90,100,,,,,162.773,,Brain Routine,,,,512,,10,0.482,FAST_GEMS\SAT_GEMS\EDR_GEMS\TRF_GEMS\FILTERED_GEMS\ACC_GEMS\FS\FSA_GEMS\T2FLAIR_GEMS,SE\IR,,SK,Ax T2 FLAIR FS DL Off,14,"[0, 0, 0]",4,,30\LX\SIGNA_LX1.MR30.1_DA_2305.d,4.4,SWLt10,,,,,,,
dcm_qa_cs_dl/Ref/Ph_201_T1W_TSE_Sno_CSno_CSAIno.json,203,2,11:42:33.080000,,,,,,MULTI COIL,,dcm2niix,v1.0.20230404,,,45317,,0.0230556,7,,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'T1', 'NONE']",127.819968,ROW,,QMC,MRI,,2D,3,Philips,Ingenia Elition X,,MR,,,,,HFS,100,80.0781,,203,,,353.819,,T1W_TSE_Sno_CSno_CSAIno,,,,256,,0.519523,,OTHER,SE,,SK,T1W_TSE_Sno_CSno_CSAIno,201,,4,,11.0.0\11.0.0.0,5,PHILIPS-D5N0TNI,,,,,,,
dcm_qa_cs_dl/Ref/Ph_401_T1W_FFE_Sno_CS2.json,256,4,12:29:16.890000,,,,,,MULTI COIL,,dcm2niix,v1.0.20230404,,,45190,,0.003568,,,80,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'T1', 'NONE']",127.775376,ROW,,Queens Medical Centre,MRI Dept,,2D,3,Philips,Ingenia Elition X,,MR,,,,,HFS,100,100,,256,,,217.014,,T1W_FFE_Sno_CS2,,,,256,,0.256445,,OTHER,GR,,SS,T1W_FFE_Sno_CS2,401,,5,,5.7.1\5.7.1.3,5.5,,,,,,,,
dcm_qa_cs_dl/Ref/Ph_501_T1W_FFE_Sno_CS4.json,256,5,12:30:11.580000,,,,,,MULTI COIL,,dcm2niix,v1.0.20230404,,,45190,,0.003568,,,80,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'M', 'FFE', 'M', 'FFE']",127.775376,ROW,,Queens Medical Centre,MRI Dept,,2D,3,Philips,Ingenia Elition X,,MR,,,,,HFS,100,100,,256,,,217,,T1W_FFE_Sno_CS4,,,,256,,0.256445,0.37091,OTHER,GR,,SS,T1W_FFE_Sno_CS4,501,,5,,5.7.1\5.7.1.3,5.5,,,,,,,,
dcm_qa_cs_dl/Ref/Ph_501_T1W_TSE_Sno_CSno_CSAI2.json,191,5,11:44:43.320000,,,,,,MULTI COIL,,dcm2niix,v1.0.20230404,,,45317,,0.0230556,7,,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'T1', 'NONE']",127.820336,ROW,,QMC,MRI,,2D,3,Philips,Ingenia Elition X,,MR,,,,,HFS,100,80.0781,,191,,,346.296,,T1W_TSE_Sno_CSno_CSAI2,,,,256,,0.519523,,OTHER,SE,,SK,T1W_TSE_Sno_CSno_CSAI2,501,,4,,11.0.0\11.0.0.0,5,PHILIPS-D5N0TNI,,,,,,,
dcm_qa_cs_dl/Ref/Si_2001_t1_space_sag_cs4.json,256,1,15:55:30.805000,,256,,,Adaptive Combine,1,,dcm2niix,v1.0.20230404,,,182880,3.1e-06,0.011,42,,120,,"[0, 1, 0, 0, 0, -1]",,"['ORIGINAL', 'PRIMARY', 'M', 'NORM', 'DIS2D', 'MFSPLIT']",63.671496,ROW,"Lister Road ,Nottingham,,GB,NG7 2FT",Nottingham University Hospital,,,3D,1.5,Siemens,MAGNETOM Sola,,MR,,True,,1,HFS,100,100,i,256,,1,630,Neuro Brain,t1_space_sag_cs4,%SiemensSeq%\space,HE1-4;NE2,HeadNeck_20_TCS,256,24,0.7,0.0919179,PER,SE,*spcR_42ns,SP\SK,t1_space_sag_cs4,2001,"[-4309, -3820, -10183, 232, 55, -65, -46, 85]",1,,syngo MR XA51,,AWP182880,,,,272.671,,,
dcm_qa_cs_dl/Ref/Si_2_t1_space_sag_cs4.json,256,1,15:55:30.805000,,256,,,Adaptive Combine,1,,dcm2niix,v1.0.20230404,,,182880,3.1e-06,0.011,42,,120,,"[0, 1, 0, 0, 0, -1]",,"['ORIGINAL', 'PRIMARY', 'M', 'NONE']",63.671496,ROW,"Lister Road ,Nottingham,,GB,NG7 2FT",Nottingham University Hospital,,,3D,1.5,Siemens,MAGNETOM Sola,,MR,,True,,1,HFS,100,100,i,256,,1,630,Neuro Brain,t1_space_sag_cs4,%SiemensSeq%\space,HE1-4;NE2,HeadNeck_20_TCS,256,24,0.7,,,SE,,SK\SP,t1_space_sag_cs4,2,"[-4309, -3820, -10183, 232, 55, -65, -46, 85]",1,,syngo MR XA51,,AWP182880,,,,272.671,,,
dcm_qa_cs_dl/Ref/Si_3001_t1_space_sag_NOcs.json,256,1,15:58:16.777500,,256,,,Adaptive Combine,HeadNeck_20_TCS,,dcm2niix,v1.0.20230404,,,182880,3.1e-06,0.011,42,,120,,"[0, 1, 0, 0, 0, -1]",,"['ORIGINAL', 'PRIMARY', 'M', 'NORM', 'DIS2D', 'MFSPLIT']",63.671496,ROW,"Lister Road ,Nottingham,,GB,NG7 2FT",Nottingham University Hospital,,,3D,1.5,Siemens,MAGNETOM Sola,SENSE,MR,,True,,1,HFS,100,100,i,256,,1,630,Neuro Brain,t1_space_sag_NOcs,%SiemensSeq%\space,HE1-4;NE2,HeadNeck_20_TCS,256,,0.7,0.092958,PER,SE,*spcR_42ns,SP\SK,t1_space_sag_NOcs,3001,"[-4309, -3820, -10183, 232, 55, -65, -46, 85]",1,,syngo MR XA51,,AWP182880,,,,272.671,,,
dcm_qa_cs_dl/Ref/Si_3_t1_space_sag_NOcs.json,256,1,15:58:16.777500,,256,,,Adaptive Combine,HeadNeck_20_TCS,,dcm2niix,v1.0.20230404,,,182880,3.1e-06,0.011,42,,120,,"[0, 1, 0, 0, 0, -1]",,"['ORIGINAL', 'PRIMARY', 'M', 'NONE']",63.671496,ROW,"Lister Road ,Nottingham,,GB,NG7 2FT",Nottingham University Hospital,,,3D,1.5,Siemens,MAGNETOM Sola,SENSE,MR,,True,,1,HFS,100,100,i,256,,1,630,Neuro Brain,t1_space_sag_NOcs,%SiemensSeq%\space,HE1-4;NE2,HeadNeck_20_TCS,256,,0.7,,,SE,,SK\SP,t1_space_sag_NOcs,3,"[-4309, -3820, -10183, 232, 55, -65, -46, 85]",1,,syngo MR XA51,,AWP182880,,,,272.671,,,
dcm_qa_cs_dl/Ref/Si_4001_t2_tse_tra_p2_DR_off.json,400,1,16:08:33.835000,,400,,,Adaptive Combine,HeadNeck_20_TCS,,dcm2niix,v1.0.20230404,,,182880,6.5e-06,0.095,17,,150,,"[1, 4.897e-12, 0, -4.897e-12, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'M', 'NORM', 'DIS2D', 'MFSPLIT']",63.671472,ROW,"Lister Road ,Nottingham,,GB,NG7 2FT",Nottingham University Hospital,,1,2D,1.5,Siemens,MAGNETOM Sola,GRAPPA,MR,,True,2,1,HFS,100,100,i,400,,1,192,Neuro Brain,t2_tse_tra_p2 DR off,%SiemensSeq%\tse,HE1-4,HeadNeck_20_TCS,800,32,8.23,0.203036,PER,SE,*tse2d1_17,SP\SK,t2_tse_tra_p2 DR off,4001,"[-4300, -3820, -10177, 168, 88, 20, -46, 71]",3,,syngo MR XA51,3.6,AWP182880,,,,272.671,,,
dcm_qa_cs_dl/Ref/Si_4_t2_tse_tra_p2_DR_off.json,408,1,16:08:29.720000,,400,,,Adaptive Combine,HeadNeck_20_TCS,,dcm2niix,v1.0.20230404,,,182880,6.5e-06,0.095,17,,150,,"[1, 4.897e-12, 0, -4.897e-12, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'M', 'NONE']",63.671472,ROW,"Lister Road ,Nottingham,,GB,NG7 2FT",Nottingham University Hospital,,1,2D,1.5,Siemens,MAGNETOM Sola,GRAPPA,MR,,True,2,1,HFS,100,100,i,400,,1,192,Neuro Brain,t2_tse_tra_p2 DR off,%SiemensSeq%\tse,HE1-4,HeadNeck_20_TCS,800,32,8.23,,,SE,,SK\SP\OSP,t2_tse_tra_p2 DR off,4,"[-4300, -3820, -10177, 168, 88, 20, -46, 71]",3,"[2.385, 0, 2.505, 0.1175, 2.6225, 0.2375, 2.7425, 0.3575, 2.8625, 0.475, 2.9825, 0.595, 3.1, 0.715, 3.22, 0.835, 3.34, 0.9525, 3.46, 1.0725, 3.5775, 1.1925, 3.6975, 1.3125, 3.8175, 1.43, 3.935, 1.55, 4.055, 1.67, 4.175, 1.7875, 4.295, 1.9075, 4.4125, 2.0275, 4.5325, 2.1475, 4.6525, 2.265]",syngo MR XA51,3.6,AWP182880,,,,272.671,,,
