Path,AcquisitionMatrixPE,AcquisitionNumber,AcquisitionTime,BandwidthPerPixelPhaseEncode,BaseResolution,BidsGuess,BodyPart,CoilCombinationMethod,CoilString,ConsistencyInfo,ConversionSoftware,ConversionSoftwareVersion,DelayTime,DerivedVendorReportedEchoSpacing,DeviceSerialNumber,DwellTime,EchoTime,EchoTrainLength,EffectiveEchoSpacing,FlipAngle,ImageComments,ImageOrientationPatientDICOM,ImageOrientationText,ImageType,ImagingFrequency,InPlanePhaseEncodingDirectionDICOM,InstitutionAddress,InstitutionName,InstitutionalDepartmentName,Interpolation2D,MRAcquisitionType,MagneticFieldStrength,Manufacturer,ManufacturersModelName,MatrixCoilMode,Modality,MultibandAccelerationFactor,NonlinearGradientCorrection,ParallelReductionFactorInPlane,PartialFourier,PatientPosition,PercentPhaseFOV,PercentSampling,PhaseEncodingDirection,PhaseEncodingSteps,PhaseOversampling,PhaseResolution,PixelBandwidth,ProcedureStepDescription,ProtocolName,PulseSequenceDetails,ReceiveCoilActiveElements,ReceiveCoilName,ReconMatrixPE,RefLinesPE,RepetitionTime,SAR,ScanOptions,ScanningSequence,SequenceName,SequenceVariant,SeriesDescription,SeriesNumber,ShimSetting,SliceThickness,SliceTiming,SoftwareVersions,SpacingBetweenSlices,StationName,StudyDescription,TablePosition,TotalReadoutTime,TxRefAmp,VendorReportedEchoSpacing,WipMemBlock,Error
dcm_qa_ct/Ref/1A_TRAUMA_PLAIN_HEAD_DM_Head_100.json,,,09:28:44.000000,,,"['CT', 'CT']",,,,,dcm2niix,v1.0.20260416,,,336067,,,,,,,"[0, 1, 0, 0, 0, -1]",,"['ORIGINAL', 'PRIMARY', 'LOCALIZER']",,,NOTTINGHAM,QMC,Radiology,,,,Philips,Ingenuity CT,,CT,,,,,HFS,,,,,,,,,1A TRAUMA/PLAIN HEAD DM /Head,,,,,,,,SURVIEW,,,,,100,,0.625,,4.1,,CT4,1A TRAUMA/PLAIN HEAD DM,,,,,,
dcm_qa_ct/Ref/1A_TRAUMA_PLAIN_HEAD_DM_Head_100a.json,,,09:28:44.000000,,,"['CT', 'CT']",,,,,dcm2niix,v1.0.20260416,,,336067,,,,,,,"[0, 1, 0, 0, 0, -1]",,"['ORIGINAL', 'PRIMARY', 'LOCALIZER']",,,NOTTINGHAM,QMC,Radiology,,,,Philips,Ingenuity CT,,CT,,,,,HFS,,,,,,,,,1A TRAUMA/PLAIN HEAD DM /Head,,,,,,,,SURVIEW,,,,,100,,0.625,,4.1,,CT4,1A TRAUMA/PLAIN HEAD DM,,,,,,
dcm_qa_ct/Ref/1A_TRAUMA_PLAIN_HEAD_DM_Head_200.json,,,09:29:21.788000,,,"['CT', 'CT']",BRAIN,,,,dcm2niix,v1.0.20260416,,,336067,,,,,,Dose Information,,,"['DERIVED', 'SECONDARY', 'DOSE', 'INFO']",,,NOTTINGHAM,QMC,Radiology,,,,Philips,Ingenuity CT,,CT,,,,,,,,,,,,,,1A TRAUMA/PLAIN HEAD DM /Head,,,,,,,,,,,,Exam Summary,200,,,,4.5.0.30020,,CT4,1A TRAUMA/PLAIN HEAD DM,,,,,,
dcm_qa_ct/Ref/1A_TRAUMA_PLAIN_HEAD_DM_Head_201.json,,1,09:29:21.000000,,,"['CT', 'CT']",BRAIN,,,,dcm2niix,v1.0.20260416,,,336067,,,,,,STD BRAIN 5MM,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'AXIAL']",,,NOTTINGHAM,QMC,Radiology,,,,Philips,Ingenuity CT,,CT,,,,,HFS,,,,,,,,,1A TRAUMA/PLAIN HEAD DM /Head,,,,,,,,HELIX,,,,STD BRAIN 5MM,201,,,,4.1,,CT4,1A TRAUMA/PLAIN HEAD DM,,,,,,
dcm_qa_ct/Ref/1A_TRAUMA_PLAIN_HEAD_DM_Head_202.json,,1,09:29:21.000000,,,"['CT', 'CT']",BRAIN,,,,dcm2niix,v1.0.20260416,,,336067,,,,,,STD BRAIN 1MM,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'AXIAL']",,,NOTTINGHAM,QMC,Radiology,,,,Philips,Ingenuity CT,,CT,,,,,HFS,,,,,,,,,1A TRAUMA/PLAIN HEAD DM /Head,,,,,,,,HELIX,,,,"STD BRAIN 1MM, iDose",202,,,,4.1,,CT4,1A TRAUMA/PLAIN HEAD DM,,,,,,
dcm_qa_ct/Ref/1A_TRAUMA_PLAIN_HEAD_DM_Head_203.json,,1,09:29:21.000000,,,"['CT', 'CT']",BRAIN,,,,dcm2niix,v1.0.20260416,,,336067,,,,,,BONE BRAIN 1MM,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'AXIAL']",,,NOTTINGHAM,QMC,Radiology,,,,Philips,Ingenuity CT,,CT,,,,,HFS,,,,,,,,,1A TRAUMA/PLAIN HEAD DM /Head,,,,,,,,HELIX,,,,BONE BRAIN 1MM,203,,,,4.1,,CT4,1A TRAUMA/PLAIN HEAD DM,,,,,,
dcm_qa_ct/Ref/1A_TRAUMA_PLAIN_HEAD_DM_Head_401.json,,,09:28:44.000000,,,"['CT', 'CT']",,,,,dcm2niix,v1.0.20260416,,,336067,,,,,,Reference Surview,"[0, 1, 0, 0, 0, -1]",,"['DERIVED', 'SECONDARY', 'REF', 'SURVIEW']",,,NOTTINGHAM,QMC,Radiology,,,,Philips,Ingenuity CT,,CT,,,,,HFS,,,,,,,,,1A TRAUMA/PLAIN HEAD DM /Head,,,,,,,,SURVIEW,,,,Exam Summary,401,,0.625,,4.1,,CT4,1A TRAUMA/PLAIN HEAD DM,,,,,,
dcm_qa_ct/Ref/1A_TRAUMA_PLAIN_HEAD_DM_Head_401a.json,,,09:28:44.000000,,,"['CT', 'CT']",,,,,dcm2niix,v1.0.20260416,,,336067,,,,,,Reference Surview,"[0, 1, 0, 0, 0, -1]",,"['DERIVED', 'SECONDARY', 'REF', 'SURVIEW']",,,NOTTINGHAM,QMC,Radiology,,,,Philips,Ingenuity CT,,CT,,,,,HFS,,,,,,,,,1A TRAUMA/PLAIN HEAD DM /Head,,,,,,,,SURVIEW,,,,Exam Summary,401,,0.625,,4.1,,CT4,1A TRAUMA/PLAIN HEAD DM,,,,,,
dcm_qa_ct/Ref/1F_STEREOTAXIS_Head_201.json,,1,09:35:50.000000,,,"['CT', 'CT']",BRAIN,,,,dcm2niix,v1.0.20260416,,,336067,,,,,,STEREOTAXIS,"[1, 0, 0, 0, 0.948324, -0.317305]",,"['ORIGINAL', 'PRIMARY', 'AXIAL']",,,NOTTINGHAM,QMC,Radiology,,,,Philips,Ingenuity CT,,CT,,,,,HFS,,,,,,,,,1F STEREOTAXIS /Head,,,,,,,,AXIAL,,,,STEREOTAXIS,201,,,,4.1,,CT4,1A TRAUMA/PLAIN HEAD DM,,,,,,
dcm_qa_ct/Ref/1F_STEREOTAXIS_Head_300.json,,,09:38:8.397000,,,"['CT', 'CT']",BRAIN,,,,dcm2niix,v1.0.20260416,,,336067,,,,,,Dose Information,,,"['DERIVED', 'SECONDARY', 'DOSE', 'INFO']",,,NOTTINGHAM,QMC,Radiology,,,,Philips,Ingenuity CT,,CT,,,,,,,,,,,,,,1F STEREOTAXIS /Head,,,,,,,,,,,,CAUDAL TILT,300,,,,4.5.0.30020,,CT4,1A TRAUMA/PLAIN HEAD DM,,,,,,
