Path,AcquisitionMatrixPE,AcquisitionNumber,AcquisitionTime,BandwidthPerPixelPhaseEncode,BaseResolution,BidsGuess,BodyPart,CoilCombinationMethod,CoilString,ConsistencyInfo,ConversionSoftware,ConversionSoftwareVersion,DelayTime,DerivedVendorReportedEchoSpacing,DeviceSerialNumber,DwellTime,EchoTime,EchoTrainLength,EffectiveEchoSpacing,FlipAngle,ImageComments,ImageOrientationPatientDICOM,ImageOrientationText,ImageType,ImagingFrequency,InPlanePhaseEncodingDirectionDICOM,InstitutionAddress,InstitutionName,InstitutionalDepartmentName,Interpolation2D,MRAcquisitionType,MagneticFieldStrength,Manufacturer,ManufacturersModelName,MatrixCoilMode,Modality,MultibandAccelerationFactor,NonlinearGradientCorrection,ParallelReductionFactorInPlane,PartialFourier,PatientPosition,PercentPhaseFOV,PercentSampling,PhaseEncodingDirection,PhaseEncodingSteps,PhaseOversampling,PhaseResolution,PixelBandwidth,ProcedureStepDescription,ProtocolName,PulseSequenceDetails,ReceiveCoilActiveElements,ReceiveCoilName,ReconMatrixPE,RefLinesPE,RepetitionTime,SAR,ScanOptions,ScanningSequence,SequenceName,SequenceVariant,SeriesDescription,SeriesNumber,ShimSetting,SliceThickness,SliceTiming,SoftwareVersions,SpacingBetweenSlices,StationName,StudyDescription,TablePosition,TotalReadoutTime,TxRefAmp,VendorReportedEchoSpacing,WipMemBlock,Error
dcm_qa_fmap/Ref/GE_2_3db0maps_patient.json,128,1,17:38:27.000000,,,"['fmap', '_acq-B0mapp2_magnitude']",BRAIN,,32x2Head,,dcm2niix,v1.0.20260416,,,000000LXBAY9BNET,,0.00494,,0.00049011,10,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER', 'MAGNITUDE']",298.068972,COL,,Bay 9B NOT FOR DIAGNOSTIC USE,,,2D,7,GE,SIGNA Master,,MR,,,2,,HFS,100,100,,,,,488.281,Gradient Echo,3db0maps_patient,,,,128,,0.8,0.00159195,VB_GEMS,RM,,NONE,B0Map (GRE),2,"[76, 0, -35]",2,,28\LX\MR29.1_EA_2036.a,2,GEHCGEHC,,"[0, 0, -1.87494]",0.062244,,,,
dcm_qa_fmap/Ref/GE_2_3db0maps_patient_fieldmaphz.json,128,1,17:38:27.000000,,,"['fmap', '_acq-B0mapp2_fieldmap']",BRAIN,,32x2Head,,dcm2niix,v1.0.20260416,,,000000LXBAY9BNET,,,,0.00049011,10,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER', 'FIELDMAPHZ']",298.068972,COL,,Bay 9B NOT FOR DIAGNOSTIC USE,,,2D,7,GE,SIGNA Master,,MR,,,2,,HFS,100,100,,,,,488.281,Gradient Echo,3db0maps_patient,,,,128,,0.8,0.00159195,VB_GEMS,RM,,NONE,B0Map (GRE),2,"[76, 0, -35]",2,,28\LX\MR29.1_EA_2036.a,2,GEHCGEHC,,"[0, 0, -1.87494]",0.062244,,,,
dcm_qa_fmap/Ref/GE_3_3db0maps_patient.json,128,1,17:42:9.000000,,,"['fmap', '_acq-EFGRE3Dp2_magnitude']",BRAIN,,32x2Head,,dcm2niix,v1.0.20260416,,,000000LXBAY9BNET,,0.0016,,,10,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER', 'MAGNITUDE']",298.068972,COL,,Bay 9B NOT FOR DIAGNOSTIC USE,,,3D,7,GE,SIGNA Master,,MR,,,2,,HFS,100,78.125,,,,,488.281,Gradient Echo,3db0maps_patient,,,,128,,0.005,0.0702542,EDR_GEMS\ACC_GEMS\PFP,RM,,NONE,3DB0Map,3,"[76, 0, -35]",2,,28\LX\MR29.1_EA_2036.a,2,GEHCGEHC,,"[0, 0, -1.87494]",,,,,
dcm_qa_fmap/Ref/GE_3_3db0maps_patient_fieldmaphz.json,128,1,17:42:9.000000,,,"['fmap', '_acq-EFGRE3Dp2_fieldmap']",BRAIN,,32x2Head,,dcm2niix,v1.0.20260416,,,000000LXBAY9BNET,,,,,10,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER', 'FIELDMAPHZ']",298.068972,COL,,Bay 9B NOT FOR DIAGNOSTIC USE,,,3D,7,GE,SIGNA Master,,MR,,,2,,HFS,100,78.125,,,,,488.281,Gradient Echo,3db0maps_patient,,,,128,,0.005,0.0702542,EDR_GEMS\ACC_GEMS\PFP,RM,,NONE,3DB0Map,3,"[76, 0, -35]",2,,28\LX\MR29.1_EA_2036.a,2,GEHCGEHC,,"[0, 0, -1.87494]",,,,,
dcm_qa_fmap/Ref/GE_6_CV_Neuro_HH_Adv.json,128,1,,,,"['fmap', '_acq-B0mapp2_magnitude']",BRAIN,,48HAP,,dcm2niix,v1.0.20260416,,,0000000LXBAY6NET,,0.004608,,0.00114293,20,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER', 'MAGNITUDE']",127.73761,COL,,Bay6 NOT FOR DIAGNOSTIC USE,,,2D,3,GE,SIGNA Architect,,MR,,,2,,HFS,100,100,,,,,488.281,Gradient Echo,CV_Neuro_HH_Adv,,,,128,,0.2,0.0122642,VB_GEMS,RM,,NONE,B0map,6,"[88, -61, -409]",5,,27\LX\MR Software release:DV27.0_R01_1850.a,9,GEHCBAY6,CV Neuro,"[0, 0, -34.4521]",0.145152,,,,
dcm_qa_fmap/Ref/GE_6_CV_Neuro_HH_Adv_fieldmaphz.json,128,1,,,,"['fmap', '_acq-B0mapp2_fieldmap']",BRAIN,,48HAP,,dcm2niix,v1.0.20260416,,,0000000LXBAY6NET,,,,0.00114293,20,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER', 'FIELDMAPHZ']",127.73761,COL,,Bay6 NOT FOR DIAGNOSTIC USE,,,2D,3,GE,SIGNA Architect,,MR,,,2,,HFS,100,100,,,,,488.281,Gradient Echo,CV_Neuro_HH_Adv,,,,128,,0.2,0.0122642,VB_GEMS,RM,,NONE,B0map,6,"[88, -61, -409]",5,,27\LX\MR Software release:DV27.0_R01_1850.a,9,GEHCBAY6,CV Neuro,"[0, 0, -34.4521]",0.145152,,,,
dcm_qa_fmap/Ref/Ph_801_WIP_B0_NS_e1.json,64,8,15:25:9.020000,,,"['fmap', '_acq-SSRMFFE_run-801_magnitude']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,17240,,0.00152,,,12,,"[1, 0, 2.74252e-05, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'T1', 'MIXED']",127.763573,ROW,1161 21st Ave South,Vanderbilt Health and williamson,Research MRI,,3D,3,Philips,Achieva dStream,,MR,,,,,HFS,100,78.5398,,64,,,3099.81,,WIP B0 NS,,,,64,,0.0038045,,OTHER,RM,,SS,B0 NS,801,,4,,5.3.0\5.3.0.3,4,mr3tb,,"[0, 0, 0.3]",,,,,
dcm_qa_fmap/Ref/Ph_801_WIP_B0_NS_e2_fieldmaphz.json,64,8,15:25:9.020000,,,"['fmap', '_acq-SSRMFFE_run-801_fieldmap']",BRAIN,,MULTI COIL,,dcm2niix,v1.0.20260416,,,17240,,,,,12,,"[1, 0, 2.74252e-05, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'T1', 'MIXED', 'FIELDMAPHZ']",127.763573,ROW,1161 21st Ave South,Vanderbilt Health and williamson,Research MRI,,3D,3,Philips,Achieva dStream,,MR,,,,,HFS,100,78.5398,,64,,,3099.81,,WIP B0 NS,,,,64,,0.0038045,,OTHER,RM,,SS,B0 NS,801,,4,,5.3.0\5.3.0.3,4,mr3tb,,"[0, 0, 0.3]",,,,,
dcm_qa_fmap/Ref/Si_2_gre_field_magph_e1.json,64,1,14:01:35.917500,,64,"['fmap', '_acq-fm2_magnitude1']",HEAD,Sum of Squares,,N4_VE11C_LATEST_20160120,dcm2niix,v1.0.20260416,,,67060,3e-05,0.00519,,,60,,"[1, 0, 0, 0, 1, 0]",Tra,"['ORIGINAL', 'PRIMARY', 'M', 'ND', 'MAGNITUDE']",123.25483,COL,"Medical Center Dr 5,Columbia,SC,US,29203",USC,Radiology,,2D,3,Siemens,Prisma_fit,SENSE,MR,,False,,1,HFS,100,100,j-,64,,1,260,Husband^Husband,gre_field_magph,%SiemensSeq%\gre_field_mapping,BC,Body,64,,0.4,0.0727837,,GR,*fm2d2r,SP,gre_field_magph,2,"[6735, -6571, 2525, -838, 13, 183, 146, -19]",3,"[0.20312, 0, 0.21875, 0.01562, 0.21875, 0.01562, 0.23438, 0.03125, 0.25, 0.04688, 0.25, 0.04688, 0.26562, 0.0625, 0.28125, 0.07812, 0.28125, 0.09375, 0.29688, 0.09375, 0.3125, 0.10938, 0.32812, 0.125, 0.32812, 0.14062, 0.34375, 0.14062, 0.35938, 0.15625, 0.35938, 0.17188, 0.375, 0.17188, 0.39062, 0.1875]",syngo MR E11,3.6,MRC35131,Husband^Husband,"[0, 0, 0]",,254.261,,,
dcm_qa_fmap/Ref/Si_2_gre_field_magph_e2.json,64,1,14:01:36.320000,,64,"['fmap', '_acq-fm2_magnitude2']",HEAD,Sum of Squares,,N4_VE11C_LATEST_20160120,dcm2niix,v1.0.20260416,,,67060,3e-05,0.00765,,,60,,"[1, 0, 0, 0, 1, 0]",Tra,"['ORIGINAL', 'PRIMARY', 'M', 'ND', 'MAGNITUDE']",123.25483,COL,"Medical Center Dr 5,Columbia,SC,US,29203",USC,Radiology,,2D,3,Siemens,Prisma_fit,SENSE,MR,2,False,,1,HFS,100,100,j-,64,,1,260,Husband^Husband,gre_field_magph,%SiemensSeq%\gre_field_mapping,BC,Body,64,,0.4,0.0727837,,GR,*fm2d2r,SP,gre_field_magph,2,"[6735, -6571, 2525, -838, 13, 183, 146, -19]",3,"[0.1875, 0, 0.20312, 0, 0.21875, 0.01562, 0.23438, 0.03125, 0.23438, 0.04688, 0.25, 0.04688, 0.26562, 0.0625, 0.26562, 0.07812, 0.28125, 0.07812, 0.29688, 0.09375, 0.3125, 0.10938, 0.3125, 0.125, 0.32812, 0.125, 0.34375, 0.14062, 0.34375, 0.15625, 0.35938, 0.15625, 0.375, 0.17188, 0.39062, 0.1875]",syngo MR E11,3.6,MRC35131,Husband^Husband,"[0, 0, 0]",,254.261,,,
