Path,AcquisitionMatrixPE,AcquisitionNumber,AcquisitionTime,BandwidthPerPixelPhaseEncode,BaseResolution,BidsGuess,BodyPart,CoilCombinationMethod,CoilString,ConsistencyInfo,ConversionSoftware,ConversionSoftwareVersion,DelayTime,DerivedVendorReportedEchoSpacing,DeviceSerialNumber,DwellTime,EchoTime,EchoTrainLength,EffectiveEchoSpacing,FlipAngle,ImageComments,ImageOrientationPatientDICOM,ImageOrientationText,ImageType,ImagingFrequency,InPlanePhaseEncodingDirectionDICOM,InstitutionAddress,InstitutionName,InstitutionalDepartmentName,Interpolation2D,MRAcquisitionType,MagneticFieldStrength,Manufacturer,ManufacturersModelName,MatrixCoilMode,Modality,MultibandAccelerationFactor,NonlinearGradientCorrection,ParallelReductionFactorInPlane,PartialFourier,PatientPosition,PercentPhaseFOV,PercentSampling,PhaseEncodingDirection,PhaseEncodingSteps,PhaseOversampling,PhaseResolution,PixelBandwidth,ProcedureStepDescription,ProtocolName,PulseSequenceDetails,ReceiveCoilActiveElements,ReceiveCoilName,ReconMatrixPE,RefLinesPE,RepetitionTime,SAR,ScanOptions,ScanningSequence,SequenceName,SequenceVariant,SeriesDescription,SeriesNumber,ShimSetting,SliceThickness,SliceTiming,SoftwareVersions,SpacingBetweenSlices,StationName,StudyDescription,TablePosition,TotalReadoutTime,TxRefAmp,VendorReportedEchoSpacing,WipMemBlock,Error
dcm_qa_ge/Ref/3D_Ax_T1_MP-RAGE_R22_5.json,256,1,00:20:56.000000,,,,,,48HA,,dcm2niix,v1.0.20211006,,,0000000000orange,,0.003172,,,8,,"[0.99801, 0.0452015, 0.0439564, -0.0342042, 0.973805, -0.224796]",,"['ORIGINAL', 'PRIMARY', 'OTHER']",127.728,ROW,,orange,,,3D,3,GE,SIGNA Pioneer,,MR,,,2,,HFS,100,100,,,,,244.141,,Brain Advanced Sequences,,,,256,,2.21766,0.0849758,EDR_GEMS\FILTERED_GEMS\ACC_GEMS\FSA_GEMS\IR_GEMS,RM\IR,,NONE,3D Ax T1 MP-RAGE_R22,5,,1.2,,28\LX\MR29.1_EA_2039.g,1.2,00090004,,,,,,,
dcm_qa_ge/Ref/Ax_DWI_TENSOR_R1p5_3.json,128,1,00:16:42.000000,,,,,,48HA,,dcm2niix,v1.0.20211006,,,0000000000orange,,0.1235,,0.000327529,90,,"[0.726233, -0.681684, 0.0888371, 0.687378, 0.721921, -0.0796377]",,"['ORIGINAL', 'PRIMARY', 'OTHER']",127.728,COL,,orange,,,2D,3,GE,SIGNA Pioneer,,MR,,,1.5,,HFS,100,100,j,,,,1953.12,,Brain Advanced Sequences,,,,256,,1,0.132167,SAT_GEMS\EDR_GEMS\EPI_GEMS\ACC_GEMS\PFF\FS,EP\SE,,NONE,Ax DWI TENSOR R1p5,3,,3,,28\LX\MR29.1_EA_2039.g,3,00090004,,,0.08352,,,,
dcm_qa_ge/Ref/Ax_DWI_TENSOR_R2MB2_4.json,128,1,00:18:12.000000,,,,,,48HA,,dcm2niix,v1.0.20211006,,,0000000000orange,,0.1273,,0.000245082,90,,"[0.80634, -0.586259, 0.0782037, 0.59137, 0.801351, -0.0901011]",,"['ORIGINAL', 'PRIMARY', 'OTHER']",127.728,COL,,orange,,,2D,3,GE,SIGNA Pioneer,,MR,2,,2,,HFS,100,100,j-,,,,1953.12,,Brain Advanced Sequences,,,,256,,1,0.326269,CL_GEMS\SAT_GEMS\EDR_GEMS\EPI_GEMS\HYPERBAND_GEMS\ACC_GEMS\PFF\FS,EP\SE,,NONE,Ax DWI TENSOR R2MB2,4,,3,,28\LX\MR29.1_EA_2039.g,3,00090004,,,0.062496,,,,
dcm_qa_ge/Ref/Ax_DWI_TENSOR_R2_1.json,128,1,00:14:57.000000,,,,,,48HA,,dcm2niix,v1.0.20211006,,,0000000000orange,,0.1236,,0.000238165,90,,"[0.726233, -0.681684, 0.0888371, 0.687378, 0.721921, -0.0796377]",,"['ORIGINAL', 'PRIMARY', 'OTHER']",127.728,COL,,orange,,,2D,3,GE,SIGNA Pioneer,,MR,,,2,,HFS,100,100,j,,,,1953.12,,Brain Advanced Sequences,,,,256,,1,0.132167,SAT_GEMS\EDR_GEMS\EPI_GEMS\ACC_GEMS\PFF\FS,EP\SE,,NONE,Ax DWI TENSOR R2,1,,3,,28\LX\MR29.1_EA_2039.g,3,00090004,,,0.060732,,,,
dcm_qa_ge/Ref/Ax_DWI_TENSOR_R3_2.json,128,1,00:16:0.000000,,,,,,48HA,,dcm2niix,v1.0.20211006,,,0000000000orange,,0.1237,,0.000162557,90,,"[0.726233, -0.681684, 0.0888371, 0.687378, 0.721921, -0.0796377]",,"['ORIGINAL', 'PRIMARY', 'OTHER']",127.728,COL,,orange,,,2D,3,GE,SIGNA Pioneer,,MR,,,3,,HFS,100,100,j,,,,1953.12,,Brain Advanced Sequences,,,,256,,1,0.132167,SAT_GEMS\EDR_GEMS\EPI_GEMS\ACC_GEMS\PFF\FS,EP\SE,,NONE,Ax DWI TENSOR R3,2,,3,,28\LX\MR29.1_EA_2039.g,3,00090004,,,0.041452,,,,
dcm_qa_ge/Ref/Ax_fMRI_HB3_48sl_int_asc_14.json,64,1,22:00:46.000000,,,,,,48HA,,dcm2niix,v1.0.20211006,,,000000000RFSAMAY,,0.03,,0.000269651,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'EPI', 'NONE']",127.698,COL,,rfsamay,,,2D,3,GE,SIGNA Architect,,MR,3,,2,,HFS,100,100,j-,,,,7812.5,,Brain Advanced Sequences,,,,64,,2,0.036906,SAT_GEMS\EDR_GEMS\EPI_GEMS\HYPERBAND_GEMS\ACC_GEMS\FS,EP\GR,,SS,Ax fMRI HB3 48sl int asc,14,,2,"[0, 1, 0.125, 1.125, 0.25, 1.25, 0.375, 1.375, 0.5, 1.5, 0.625, 1.625, 0.75, 1.875, 0.875, 1.75, 0, 1, 0.125, 1.125, 0.25, 1.25, 0.375, 1.375, 0.5, 1.5, 0.625, 1.625, 0.75, 1.875, 0.875, 1.75, 0, 1, 0.125, 1.125, 0.25, 1.25, 0.375, 1.375, 0.5, 1.5, 0.625, 1.625, 0.75, 1.875, 0.875, 1.75]",28\LX\MR Software release:DV28.0_R02_1947.a,2,123234,,,0.016988,,,,
dcm_qa_ge/Ref/Ax_fMRI_HB3_48sl_seq_asc_15.json,64,1,22:03:56.000000,,,,,,48HA,,dcm2niix,v1.0.20211006,,,000000000RFSAMAY,,0.03,,0.000269651,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'EPI', 'NONE']",127.698,COL,,rfsamay,,,2D,3,GE,SIGNA Architect,,MR,3,,2,,HFS,100,100,j-,,,,7812.5,,Brain Advanced Sequences,,,,64,,2,0.036906,SAT_GEMS\EDR_GEMS\EPI_GEMS\HYPERBAND_GEMS\ACC_GEMS\FS,EP\GR,,SS,Ax fMRI HB3 48sl seq asc,15,,2,"[0, 0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875, 1, 1.125, 1.25, 1.375, 1.5, 1.625, 1.75, 1.875, 0, 0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875, 1, 1.125, 1.25, 1.375, 1.5, 1.625, 1.75, 1.875, 0, 0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875, 1, 1.125, 1.25, 1.375, 1.5, 1.625, 1.75, 1.875]",28\LX\MR Software release:DV28.0_R02_1947.a,2,123234,,,0.016988,,,,
dcm_qa_ge/Ref/Ax_fMRI_HB8_72sl_int_asc_2.json,64,1,21:03:2.000000,,,,,,48HA,,dcm2niix,v1.0.20211006,,,000000000RFSAMAY,,0.03,,0.000552,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'EPI', 'NONE']",127.698,COL,,rfsamay,,,2D,3,GE,SIGNA Architect,,MR,8,,,,HFS,100,100,j,,,,7812.5,,Brain Advanced Sequences,,,,64,,1,0.0686957,SAT_GEMS\EDR_GEMS\EPI_GEMS\HYPERBAND_GEMS\PFF\FS,EP\GR,,SS,Ax fMRI HB8 72sl int asc,2,,2,"[0, 0.555556, 0.111111, 0.666667, 0.222222, 0.777778, 0.333333, 0.888889, 0.444444, 0, 0.555556, 0.111111, 0.666667, 0.222222, 0.777778, 0.333333, 0.888889, 0.444444, 0, 0.555556, 0.111111, 0.666667, 0.222222, 0.777778, 0.333333, 0.888889, 0.444444, 0, 0.555556, 0.111111, 0.666667, 0.222222, 0.777778, 0.333333, 0.888889, 0.444444, 0, 0.555556, 0.111111, 0.666667, 0.222222, 0.777778, 0.333333, 0.888889, 0.444444, 0, 0.555556, 0.111111, 0.666667, 0.222222, 0.777778, 0.333333, 0.888889, 0.444444, 0, 0.555556, 0.111111, 0.666667, 0.222222, 0.777778, 0.333333, 0.888889, 0.444444, 0, 0.555556, 0.111111, 0.666667, 0.222222, 0.777778, 0.333333, 0.888889, 0.444444]",28\LX\MR Software release:DV28.0_R02_1947.a,2,123234,,,0.034776,,,,
dcm_qa_ge/Ref/Ax_fMRI_HB8_72sl_int_des_8.json,64,1,21:31:7.000000,,,,,,48HA,,dcm2niix,v1.0.20211006,,,000000000RFSAMAY,,0.03,,0.000552,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'EPI', 'NONE']",127.698,COL,,rfsamay,,,2D,3,GE,SIGNA Architect,,MR,8,,,,HFS,100,100,j,,,,7812.5,,Brain Advanced Sequences,,,,64,,1,0.0686957,SAT_GEMS\EDR_GEMS\EPI_GEMS\HYPERBAND_GEMS\PFF\FS,EP\GR,,SS,Ax fMRI HB8 72sl int des,8,,2,"[0.444444, 0.888889, 0.333333, 0.777778, 0.222222, 0.666667, 0.111111, 0.555556, 0, 0.444444, 0.888889, 0.333333, 0.777778, 0.222222, 0.666667, 0.111111, 0.555556, 0, 0.444444, 0.888889, 0.333333, 0.777778, 0.222222, 0.666667, 0.111111, 0.555556, 0, 0.444444, 0.888889, 0.333333, 0.777778, 0.222222, 0.666667, 0.111111, 0.555556, 0, 0.444444, 0.888889, 0.333333, 0.777778, 0.222222, 0.666667, 0.111111, 0.555556, 0, 0.444444, 0.888889, 0.333333, 0.777778, 0.222222, 0.666667, 0.111111, 0.555556, 0, 0.444444, 0.888889, 0.333333, 0.777778, 0.222222, 0.666667, 0.111111, 0.555556, 0, 0.444444, 0.888889, 0.333333, 0.777778, 0.222222, 0.666667, 0.111111, 0.555556, 0]",28\LX\MR Software release:DV28.0_R02_1947.a,2,123234,,,0.034776,,,,
dcm_qa_ge/Ref/Ax_fMRI_HB8_72sl_seq_asc_3.json,64,1,21:09:27.000000,,,,,,48HA,,dcm2niix,v1.0.20211006,,,000000000RFSAMAY,,0.03,,0.000552,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'EPI', 'NONE']",127.698,COL,,rfsamay,,,2D,3,GE,SIGNA Architect,,MR,8,,,,HFS,100,100,j,,,,7812.5,,Brain Advanced Sequences,,,,64,,1,0.0686957,SAT_GEMS\EDR_GEMS\EPI_GEMS\HYPERBAND_GEMS\PFF\FS,EP\GR,,SS,Ax fMRI HB8 72sl seq asc,3,,2,"[0, 0.111111, 0.222222, 0.333333, 0.444444, 0.555556, 0.666667, 0.777778, 0.888889, 0, 0.111111, 0.222222, 0.333333, 0.444444, 0.555556, 0.666667, 0.777778, 0.888889, 0, 0.111111, 0.222222, 0.333333, 0.444444, 0.555556, 0.666667, 0.777778, 0.888889, 0, 0.111111, 0.222222, 0.333333, 0.444444, 0.555556, 0.666667, 0.777778, 0.888889, 0, 0.111111, 0.222222, 0.333333, 0.444444, 0.555556, 0.666667, 0.777778, 0.888889, 0, 0.111111, 0.222222, 0.333333, 0.444444, 0.555556, 0.666667, 0.777778, 0.888889, 0, 0.111111, 0.222222, 0.333333, 0.444444, 0.555556, 0.666667, 0.777778, 0.888889, 0, 0.111111, 0.222222, 0.333333, 0.444444, 0.555556, 0.666667, 0.777778, 0.888889]",28\LX\MR Software release:DV28.0_R02_1947.a,2,123234,,,0.034776,,,,
