Path,AcquisitionMatrixPE,AcquisitionNumber,AcquisitionTime,BandwidthPerPixelPhaseEncode,BaseResolution,BidsGuess,BodyPart,CoilCombinationMethod,CoilString,ConsistencyInfo,ConversionSoftware,ConversionSoftwareVersion,DelayTime,DerivedVendorReportedEchoSpacing,DeviceSerialNumber,DwellTime,EchoTime,EchoTrainLength,EffectiveEchoSpacing,FlipAngle,ImageComments,ImageOrientationPatientDICOM,ImageOrientationText,ImageType,ImagingFrequency,InPlanePhaseEncodingDirectionDICOM,InstitutionAddress,InstitutionName,InstitutionalDepartmentName,Interpolation2D,MRAcquisitionType,MagneticFieldStrength,Manufacturer,ManufacturersModelName,MatrixCoilMode,Modality,MultibandAccelerationFactor,NonlinearGradientCorrection,ParallelReductionFactorInPlane,PartialFourier,PatientPosition,PercentPhaseFOV,PercentSampling,PhaseEncodingDirection,PhaseEncodingSteps,PhaseOversampling,PhaseResolution,PixelBandwidth,ProcedureStepDescription,ProtocolName,PulseSequenceDetails,ReceiveCoilActiveElements,ReceiveCoilName,ReconMatrixPE,RefLinesPE,RepetitionTime,SAR,ScanOptions,ScanningSequence,SequenceName,SequenceVariant,SeriesDescription,SeriesNumber,ShimSetting,SliceThickness,SliceTiming,SoftwareVersions,SpacingBetweenSlices,StationName,StudyDescription,TablePosition,TotalReadoutTime,TxRefAmp,VendorReportedEchoSpacing,WipMemBlock,Error
dcm_qa_philips_asl_enh/Ref/201_pCASL_enhanced_real.json,88,2,16:31:37.920000,,,,,,MULTI COIL,,dcm2niix,v1.0.20210819,,,45317,,0.015311,39,,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'PERFUSION', 'NONE', 'REAL']",127.82,COL,,QMC,MRI,,2D,3,Philips,Ingenia Elition X,,MR,,,2.3,,HFS,100,98.8636,,88,,,2190.94,,pCASL,,,,128,,4.55,,FS,GR,,SK,pCASL,201,,5,,5.7.1\5.7.1.2,6,PHILIPS-D5N0TNI,,,,,,,
dcm_qa_philips_asl_enh/Ref/202_SOURCE_-_pCASL_enhanced.json,88,2,16:31:37.920000,,,,,,MULTI COIL,,dcm2niix,v1.0.20210819,,,45317,,0.015311,39,,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'PERFUSION', 'NONE']",127.82,COL,,QMC,MRI,,2D,3,Philips,Ingenia Elition X,,MR,,,2.3,,HFS,100,98.8636,,88,,,2190.94,,SOURCE - pCASL,,,,128,,4.55,,FS,GR,,SK,SOURCE - pCASL,202,,5,,5.7.1\5.7.1.2,6,PHILIPS-D5N0TNI,,,,,,,
dcm_qa_philips_asl_enh/Ref/301_ASL_MultiPhase_enhanced_real_t1050.json,66,3,16:36:46.930000,,,,,,MULTI COIL,,dcm2niix,v1.0.20211006,,,45317,,0.010864,29,,40,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'PERFUSION', 'NONE', 'REAL']",127.82,COL,,QMC,MRI,,2D,3,Philips,Ingenia Elition X,,MR,,,2.3,,HFS,100,100,,66,,,3130.87,,ASL_MultiPhase,,,,80,,0.25,,CG,GR,,SK,ASL_MultiPhase,301,,6,,5.7.1\5.7.1.2,6.6,PHILIPS-D5N0TNI,,,,,,,
dcm_qa_philips_asl_enh/Ref/301_ASL_MultiPhase_enhanced_real_t1300.json,66,3,16:36:46.930000,,,,,,MULTI COIL,,dcm2niix,v1.0.20211006,,,45317,,0.010864,29,,40,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'PERFUSION', 'NONE', 'REAL']",127.82,COL,,QMC,MRI,,2D,3,Philips,Ingenia Elition X,,MR,,,2.3,,HFS,100,100,,66,,,3130.87,,ASL_MultiPhase,,,,80,,0.25,,CG,GR,,SK,ASL_MultiPhase,301,,6,,5.7.1\5.7.1.2,6.6,PHILIPS-D5N0TNI,,,,,,,
dcm_qa_philips_asl_enh/Ref/301_ASL_MultiPhase_enhanced_real_t1550.json,66,3,16:36:46.930000,,,,,,MULTI COIL,,dcm2niix,v1.0.20211006,,,45317,,0.010864,29,,40,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'PERFUSION', 'NONE', 'REAL']",127.82,COL,,QMC,MRI,,2D,3,Philips,Ingenia Elition X,,MR,,,2.3,,HFS,100,100,,66,,,3130.87,,ASL_MultiPhase,,,,80,,0.25,,CG,GR,,SK,ASL_MultiPhase,301,,6,,5.7.1\5.7.1.2,6.6,PHILIPS-D5N0TNI,,,,,,,
dcm_qa_philips_asl_enh/Ref/301_ASL_MultiPhase_enhanced_real_t1800.json,66,3,16:36:46.930000,,,,,,MULTI COIL,,dcm2niix,v1.0.20211006,,,45317,,0.010864,29,,40,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'PERFUSION', 'NONE', 'REAL']",127.82,COL,,QMC,MRI,,2D,3,Philips,Ingenia Elition X,,MR,,,2.3,,HFS,100,100,,66,,,3130.87,,ASL_MultiPhase,,,,80,,0.25,,CG,GR,,SK,ASL_MultiPhase,301,,6,,5.7.1\5.7.1.2,6.6,PHILIPS-D5N0TNI,,,,,,,
dcm_qa_philips_asl_enh/Ref/301_ASL_MultiPhase_enhanced_real_t2050.json,66,3,16:36:46.930000,,,,,,MULTI COIL,,dcm2niix,v1.0.20211006,,,45317,,0.010864,29,,40,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'PERFUSION', 'NONE', 'REAL']",127.82,COL,,QMC,MRI,,2D,3,Philips,Ingenia Elition X,,MR,,,2.3,,HFS,100,100,,66,,,3130.87,,ASL_MultiPhase,,,,80,,0.25,,CG,GR,,SK,ASL_MultiPhase,301,,6,,5.7.1\5.7.1.2,6.6,PHILIPS-D5N0TNI,,,,,,,
dcm_qa_philips_asl_enh/Ref/301_ASL_MultiPhase_enhanced_real_t300.json,66,3,16:36:46.930000,,,,,,MULTI COIL,,dcm2niix,v1.0.20211006,,,45317,,0.010864,29,,40,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'PERFUSION', 'NONE', 'REAL']",127.82,COL,,QMC,MRI,,2D,3,Philips,Ingenia Elition X,,MR,,,2.3,,HFS,100,100,,66,,,3130.87,,ASL_MultiPhase,,,,80,,0.25,,CG,GR,,SK,ASL_MultiPhase,301,,6,,5.7.1\5.7.1.2,6.6,PHILIPS-D5N0TNI,,,,,,,
dcm_qa_philips_asl_enh/Ref/301_ASL_MultiPhase_enhanced_real_t550.json,66,3,16:36:46.930000,,,,,,MULTI COIL,,dcm2niix,v1.0.20211006,,,45317,,0.010864,29,,40,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'PERFUSION', 'NONE', 'REAL']",127.82,COL,,QMC,MRI,,2D,3,Philips,Ingenia Elition X,,MR,,,2.3,,HFS,100,100,,66,,,3130.87,,ASL_MultiPhase,,,,80,,0.25,,CG,GR,,SK,ASL_MultiPhase,301,,6,,5.7.1\5.7.1.2,6.6,PHILIPS-D5N0TNI,,,,,,,
dcm_qa_philips_asl_enh/Ref/301_ASL_MultiPhase_enhanced_real_t800.json,66,3,16:36:46.930000,,,,,,MULTI COIL,,dcm2niix,v1.0.20211006,,,45317,,0.010864,29,,40,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'PERFUSION', 'NONE', 'REAL']",127.82,COL,,QMC,MRI,,2D,3,Philips,Ingenia Elition X,,MR,,,2.3,,HFS,100,100,,66,,,3130.87,,ASL_MultiPhase,,,,80,,0.25,,CG,GR,,SK,ASL_MultiPhase,301,,6,,5.7.1\5.7.1.2,6.6,PHILIPS-D5N0TNI,,,,,,,
dcm_qa_philips_asl_enh/Ref/302_SOURCE_-_ASL_MultiPhase_enhanced.json,66,3,16:36:46.930000,,,,,,MULTI COIL,,dcm2niix,v1.0.20211006,,,45317,,0.010864,29,,40,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'PERFUSION', 'NONE']",127.82,COL,,QMC,MRI,,2D,3,Philips,Ingenia Elition X,,MR,,,2.3,,HFS,100,100,,66,,,3130.87,,SOURCE - ASL_MultiPhase,,,,80,,0.25,,CG,GR,,SK,SOURCE - ASL_MultiPhase,302,,6,,5.7.1\5.7.1.2,6.6,PHILIPS-D5N0TNI,,,,,,,
dcm_qa_philips_asl_enh/Ref/401_3D_pCASL_6mm_enhanced_real.json,60,4,16:41:11.330000,,,,,,MULTI COIL,,dcm2niix,v1.0.20210819,,,45317,,0.0121,375,,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'PERFUSION', 'NONE', 'REAL']",127.82,COL,,QMC,MRI,,3D,3,Philips,Ingenia Elition X,,MR,,,,,HFS,100,100,,60,,,2625.58,,3D_pCASL_6mm,,,,80,,4.23406,,FS,GR,,SK,3D_pCASL_6mm,401,,6,,5.7.1\5.7.1.2,6,PHILIPS-D5N0TNI,,,,,,,
dcm_qa_philips_asl_enh/Ref/402_SOURCE_-_3D_pCASL_6mm_enhanced.json,60,4,16:41:11.330000,,,,,,MULTI COIL,,dcm2niix,v1.0.20210819,,,45317,,0.0121,375,,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'PERFUSION', 'NONE']",127.82,COL,,QMC,MRI,,3D,3,Philips,Ingenia Elition X,,MR,,,,,HFS,100,100,,60,,,2625.58,,SOURCE - 3D_pCASL_6mm,,,,80,,15.8072,,FS,SE,,SK,SOURCE - 3D_pCASL_6mm,402,,6,,5.7.1\5.7.1.2,6,PHILIPS-D5N0TNI,,,,,,,
