Path,AcquisitionMatrixPE,AcquisitionNumber,AcquisitionTime,BandwidthPerPixelPhaseEncode,BaseResolution,BidsGuess,BodyPart,CoilCombinationMethod,CoilString,ConsistencyInfo,ConversionSoftware,ConversionSoftwareVersion,DelayTime,DerivedVendorReportedEchoSpacing,DeviceSerialNumber,DwellTime,EchoTime,EchoTrainLength,EffectiveEchoSpacing,FlipAngle,ImageComments,ImageOrientationPatientDICOM,ImageOrientationText,ImageType,ImagingFrequency,InPlanePhaseEncodingDirectionDICOM,InstitutionAddress,InstitutionName,InstitutionalDepartmentName,Interpolation2D,MRAcquisitionType,MagneticFieldStrength,Manufacturer,ManufacturersModelName,MatrixCoilMode,Modality,MultibandAccelerationFactor,NonlinearGradientCorrection,ParallelReductionFactorInPlane,PartialFourier,PatientPosition,PercentPhaseFOV,PercentSampling,PhaseEncodingDirection,PhaseEncodingSteps,PhaseOversampling,PhaseResolution,PixelBandwidth,ProcedureStepDescription,ProtocolName,PulseSequenceDetails,ReceiveCoilActiveElements,ReceiveCoilName,ReconMatrixPE,RefLinesPE,RepetitionTime,SAR,ScanOptions,ScanningSequence,SequenceName,SequenceVariant,SeriesDescription,SeriesNumber,ShimSetting,SliceThickness,SliceTiming,SoftwareVersions,SpacingBetweenSlices,StationName,StudyDescription,TablePosition,TotalReadoutTime,TxRefAmp,VendorReportedEchoSpacing,WipMemBlock,Error
dcm_qa_stc/Ref/GE_Brain_Routine_2.json,64,1,17:20:58.000000,,,"['func', '_acq-EPI_dir-PA_run-2_bold']",,,HEAD,,dcm2niix,v1.0.20260416,,,00000000269MRS04,,0.0226,,0.000428,70,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'EPI', 'NONE', 'MAGNITUDE']",127.726259,COL,,Nottingham Medical School,,,2D,3,GE,DISCOVERY MR750,,MR,,,,,HFS,100,100,j,,,,7812.5,PhantomGradient Echo,Brain: Routine,,,,64,,1.5,0.0105914,SQPIX_GEMS\EPI_GEMS,EP\GR,,SS,epiRT ascending,2,"[-5, 7, -16]",3,"[0, 0.75, 0.1875, 0.9375, 0.375, 1.125, 0.5625, 1.3125]",24\LX\MR Software release:DV24.0_R02_1607.b,3.3,MR01DV01,Phantom,"[0, 0, 3.11951e-09]",0.026964,,,,
dcm_qa_stc/Ref/GE_Brain_Routine_4.json,64,1,17:24:40.000000,,,"['func', '_acq-EPI_dir-PA_run-4_bold']",,,HEAD,,dcm2niix,v1.0.20260416,,,00000000269MRS04,,0.0226,,0.000428,70,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER', 'MAGNITUDE']",127.726259,COL,,Nottingham Medical School,,,2D,3,GE,DISCOVERY MR750,,MR,,,,,HFS,100,100,j,,,,7812.5,PhantomGradient Echo,Brain: Routine,,,,64,,1.5,0.0105914,MP_GEMS\SQPIX_GEMS\EPI_GEMS,EP\GR,,SS,epi ascending,4,"[-5, 7, -16]",3,"[0, 0.75, 0.1875, 0.9375, 0.375, 1.125, 0.5625, 1.3125]",24\LX\MR Software release:DV24.0_R02_1607.b,3.3,MR01DV01,Phantom,"[0, 0, 3.11951e-09]",0.026964,,,,
dcm_qa_stc/Ref/GE_DCM2NIIX_regression_test_4.json,64,1,11:48:15.000000,,,"['func', '_acq-EPI_dir-AP_run-4_bold']",BRAIN,,32Ch Head,,dcm2niix,v1.0.20260416,,,000301496MR3T6MR,,0.03,,0.000388,60,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'EPI', 'NONE', 'MAGNITUDE']",127.696749,COL,,NIH FMRIF,,,2D,3,GE,DISCOVERY MR750,,MR,,,,,HFS,100,100,j-,,,,7812.5,Gradient Echo,DCM2NIIX regression test,,,,64,,5,0.0166392,EPI_GEMS\PFF,EP\GR,,SS,Axial EPI-FMRI (Interleaved I to S),4,"[3, 4, -12]",3,"[0, 2.66667, 0.333333, 3, 0.666667, 3.33333, 1, 3.66667, 1.33333, 4, 1.66667, 4.33333, 2, 4.66667, 2.33333]",27\LX\MR Software release:DV26.0_R01_1725.a,5,fmrif3tb,,"[0, 0, -17.3125]",0.024444,,,,
dcm_qa_stc/Ref/GE_DCM2NIIX_regression_test_5.json,64,1,11:52:24.000000,,,"['func', '_acq-EPI_dir-AP_run-5_bold']",BRAIN,,32Ch Head,,dcm2niix,v1.0.20260416,,,000301496MR3T6MR,,0.03,,0.000388,60,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'EPI', 'NONE', 'MAGNITUDE']",127.696749,COL,,NIH FMRIF,,,2D,3,GE,DISCOVERY MR750,,MR,,,,,HFS,100,100,j-,,,,7812.5,Gradient Echo,DCM2NIIX regression test,,,,64,,5,0.0166392,EPI_GEMS\PFF,EP\GR,,SS,Axial EPI-FMRI (Sequential I to S),5,"[3, 5, -12]",3,"[0, 0.333333, 0.666667, 1, 1.33333, 1.66667, 2, 2.33333, 2.66667, 3, 3.33333, 3.66667, 4, 4.33333, 4.66667]",27\LX\MR Software release:DV26.0_R01_1725.a,5,fmrif3tb,,"[0, 0, -17.3125]",0.024444,,,,
dcm_qa_stc/Ref/GE_DCM2NIIX_regression_test_6.json,64,1,11:54:18.000000,,,"['func', '_acq-EPI_dir-AP_run-6_bold']",BRAIN,,32Ch Head,,dcm2niix,v1.0.20260416,,,000301496MR3T6MR,,0.03,,0.000388,60,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'EPI', 'NONE', 'MAGNITUDE']",127.696749,COL,,NIH FMRIF,,,2D,3,GE,DISCOVERY MR750,,MR,,,,,HFS,100,100,j-,,,,7812.5,Gradient Echo,DCM2NIIX regression test,,,,64,,5,0.0166392,EPI_GEMS\PFF,EP\GR,,SS,Axial EPI-FMRI (Interleaved S to I),6,"[4, 5, -11]",3,"[2.33333, 4.66667, 2, 4.33333, 1.66667, 4, 1.33333, 3.66667, 1, 3.33333, 0.666667, 3, 0.333333, 2.66667, 0]",27\LX\MR Software release:DV26.0_R01_1725.a,5,fmrif3tb,,"[0, 0, -17.3125]",0.024444,,,,
dcm_qa_stc/Ref/GE_DCM2NIIX_regression_test_7.json,64,1,11:55:51.000000,,,"['func', '_acq-EPI_dir-AP_run-7_bold']",BRAIN,,32Ch Head,,dcm2niix,v1.0.20260416,,,000301496MR3T6MR,,0.03,,0.000388,60,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'EPI', 'NONE', 'MAGNITUDE']",127.696749,COL,,NIH FMRIF,,,2D,3,GE,DISCOVERY MR750,,MR,,,,,HFS,100,100,j-,,,,7812.5,Gradient Echo,DCM2NIIX regression test,,,,64,,5,0.0166392,EPI_GEMS\PFF,EP\GR,,SS,Axial EPI-FMRI (Sequential S to I),7,"[4, 6, -11]",3,"[4.66667, 4.33333, 4, 3.66667, 3.33333, 3, 2.66667, 2.33333, 2, 1.66667, 1.33333, 1, 0.666667, 0.333333, 0]",27\LX\MR Software release:DV26.0_R01_1725.a,5,fmrif3tb,,"[0, 0, -17.3125]",0.024444,,,,
dcm_qa_stc/Ref/GE_Zugfahrt_test_4_15.json,64,1,18:12:20.000000,,,"['func', '_acq-EPIp2_dir-PA_run-15_bold']",,,8HRBRAIN,,dcm2niix,v1.0.20260416,,,000000493013MR01,,0.04,,0.000314921,90,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'EPI', 'NONE', 'MAGNITUDE']",127.717917,COL,,Neuroradiologie LMU-Grosshadern,,,2D,3,GE,SIGNA HDx,,MR,,,2,,HFS,100,100,j,,,,7812.5,Gradient Echo,Zugfahrt test/4,,,,64,,2.628,0.285495,EPI_GEMS,EP\RM,,NONE,Zugfahrt,15,"[-4, -1, -20]",3.8,"[0, 0.071027, 0.142054, 0.213081, 0.284108, 0.355135, 0.426162, 0.497189, 0.568216, 0.639243, 0.71027, 0.781297, 0.852324, 0.923351, 0.994378, 1.06541, 1.13643, 1.20746, 1.27849, 1.34951, 1.42054, 1.49157, 1.56259, 1.63362, 1.70465, 1.77568, 1.8467, 1.91773, 1.98876, 2.05978, 2.13081, 2.20184, 2.27286, 2.34389, 2.41492, 2.48595, 2.55697]",14\LX\MR Software release:14.0_M4_0629.a,3.8,GEMSMR01,,"[0, 0, 1.5301e+19]",0.01984,,,,
dcm_qa_stc/Ref/Siemens_FMRI_AX_ASC_2.json,64,1,11:04:32.975000,,64,"['func', '_acq-epfid2_dir-AP_run-2_bold']",,,,N4_VB12T_LATEST_20050804,dcm2niix,v1.0.20260416,0.01,,35131,,0.03,,,90,,"[0.999998, 0.000161275, -0.00173786, -5.84772e-08, 0.995725, 0.0923706]",,"['ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC', 'MAGNITUDE']",123.249226,COL,,,,,2D,3,Siemens,TrioTim,SENSE,MR,,False,,1,HFS,100,100,j-,64,,1,2230,Research^Rorden,FMRI_AX_ASC,%SiemensSeq%\ep2d_bold,,HeadMatrix,64,,2.2,0.1224,FS,SE\EP,*epfid2d1_64,SK,FMRI_AX_ASC,2,"[10684, -10698, 3007, 358, -69, -251, 164, 814]",3.2,"[0, 0.0625714, 0.125143, 0.187714, 0.250286, 0.312857, 0.375429, 0.438, 0.500571, 0.563143, 0.625714, 0.688286, 0.750857, 0.813429, 0.876, 0.938572, 1.00114, 1.06371, 1.12629, 1.18886, 1.25143, 1.314, 1.37657, 1.43914, 1.50171, 1.56429, 1.62686, 1.68943, 1.752, 1.81457, 1.87714, 1.93971, 2.00229, 2.06486, 2.12743]",syngo MR 2006T 4VB12T,3.2,mrc35131,Research^Rorden,,,351.51,,,
dcm_qa_stc/Ref/Siemens_REST1_w_SMS_PF7-8_6.json,64,1,08:36:34.135000,24.414,64,"['func', '_acq-epfid2_dir-AP_run-6_bold']",BRAIN,Sum of Squares,HeadNeck_20_TCS,61010002,dcm2niix,v1.0.20260416,,0.000640002,175689,3.4e-06,0.03,56,0.000640002,52,,"[1, -5e-13, 1e-06, -5e-13, 1, 1e-06]",,"['ORIGINAL', 'PRIMARY', 'M', 'NONE', 'MAGNITUDE']",123.210568,COL,"Trinity 1701,Austin,Houston,US,78712",University of Texas at Austin,,,2D,3,Siemens,MAGNETOM Vida,,MR,2,False,,0.875,HFS,100,100,j-,64,,1,2298,dcm2niix Samples,REST1 w SMS PF7-8,%SiemensSeq%\ep2d_bold,HE1-4,HeadNeck_20_TCS,64,44,0.5,,PFP\FS,EP,,SK,REST1 w SMS PF7-8,6,"[-1718, -1575, 9287, -1350, -612, 638, 63, 127]",2.4,"[0.16, 0, 0.32, 0.16, 0, 0.32]",syngo MR XA10,2.4,AWP175689,,"[0, 0, 0]",0.0403201,348.882,,,
dcm_qa_stc/Ref/Siemens_Rest_fMRI_AP_7.json,86,1,14:13:5.990000,21.142,86,"['func', '_acq-epfid2m3_dir-AP_run-7_bold']",BRAIN,Sum of Squares,,N4_VE11C_LATEST_20160120,dcm2niix,v1.0.20260416,,0.000549991,67060,2.6e-06,0.035,86,0.000549991,44,Unaliased MB3/PE3,"[0.999636, 0.0246056, 0.0110447, -0.023034, 0.991891, -0.124989]",Tra>Cor(-7.2)>Sag(0.8),"['ORIGINAL', 'PRIMARY', 'M', 'MB', 'ND', 'MOSAIC', 'MAGNITUDE']",123.254702,COL,"Medical Center Dr 5,Columbia,SC,US,29203",USC,Radiology,,2D,3,Siemens,Prisma_fit,SENSE,MR,3,False,,1,HFS,100,100,j-,86,,1,2235,Rorden^ABC_UofSC,Rest_fMRI_AP,%CustomerSeq%\cmrr_mbep2d_bold,"HE1-4;NE1,2",HeadNeck_20,86,,1.3,0.0379908,FS,EP,epfid2d1_86,SK\SS,Rest_fMRI_AP,7,"[6799, -6556, 2500, 234, 20, -251, 176, 41]",2.5,"[0, 0.6775, 0.075, 0.7525, 0.15, 0.8275, 0.225, 0.9025, 0.3, 0.9775, 0.375, 1.0525, 0.45, 1.1275, 0.525, 1.205, 0.6025, 0, 0.6775, 0.075, 0.7525, 0.15, 0.8275, 0.225, 0.9025, 0.3, 0.9775, 0.375, 1.0525, 0.45, 1.1275, 0.525, 1.205, 0.6025, 0, 0.6775, 0.075, 0.7525, 0.15, 0.8275, 0.225, 0.9025, 0.3, 0.9775, 0.375, 1.0525, 0.45, 1.1275, 0.525, 1.205, 0.6025]",syngo MR E11,2.5,MRC35131,Rorden^ABC_UofSC,"[0, 0, 0]",0.0467492,305.56,,bd4ce70b-60e2-43d2-a98b-836d57a72f21||Sequence: R016 ve11c/master r/e634e98; Dec 19 2017 11:00:25 by eja,
