Path,AcquisitionMatrixPE,AcquisitionNumber,AcquisitionTime,BandwidthPerPixelPhaseEncode,BaseResolution,BidsGuess,BodyPart,CoilCombinationMethod,CoilString,ConsistencyInfo,ConversionSoftware,ConversionSoftwareVersion,DelayTime,DerivedVendorReportedEchoSpacing,DeviceSerialNumber,DwellTime,EchoTime,EchoTrainLength,EffectiveEchoSpacing,FlipAngle,ImageComments,ImageOrientationPatientDICOM,ImageOrientationText,ImageType,ImagingFrequency,InPlanePhaseEncodingDirectionDICOM,InstitutionAddress,InstitutionName,InstitutionalDepartmentName,Interpolation2D,MRAcquisitionType,MagneticFieldStrength,Manufacturer,ManufacturersModelName,MatrixCoilMode,Modality,MultibandAccelerationFactor,NonlinearGradientCorrection,ParallelReductionFactorInPlane,PartialFourier,PatientPosition,PercentPhaseFOV,PercentSampling,PhaseEncodingDirection,PhaseEncodingSteps,PhaseOversampling,PhaseResolution,PixelBandwidth,ProcedureStepDescription,ProtocolName,PulseSequenceDetails,ReceiveCoilActiveElements,ReceiveCoilName,ReconMatrixPE,RefLinesPE,RepetitionTime,SAR,ScanOptions,ScanningSequence,SequenceName,SequenceVariant,SeriesDescription,SeriesNumber,ShimSetting,SliceThickness,SliceTiming,SoftwareVersions,SpacingBetweenSlices,StationName,StudyDescription,TablePosition,TotalReadoutTime,TxRefAmp,VendorReportedEchoSpacing,WipMemBlock,Error
dcm_qa_trt/Ref/Brain_Express_5_minute_10.json,80,1,08:57:38.000000,,,,,,48HAP,,dcm2niix,v1.0.20230706,,,00000000LXTT9NET,,0.0178,,0.000572,30,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER']",127.63769,COL,,GEHC,,,2D,3,GE,SIGNA Premier,,MR,,,,,HFS,100,100,j,,,,3906.25,,Brain Express 5 minute,,,,128,,2,0.0124817,MP_GEMS\EPI_GEMS\ACC_GEMS\PFF,EP\GR,,SS,EPI mph acc1 interpPF,10,"[0, 0, 0]",2.9,"[1.96296, 0.962963, 1.92593, 0.925926, 1.88889, 0.888889, 1.85185, 0.851852, 1.81481, 0.814815, 1.77778, 0.777778, 1.74074, 0.740741, 1.7037, 0.703704, 1.66667, 0.666667, 1.62963, 0.62963, 1.59259, 0.592593, 1.55556, 0.555556, 1.51852, 0.518518, 1.48148, 0.481481, 1.44444, 0.444444, 1.40741, 0.407407, 1.37037, 0.37037, 1.33333, 0.333333, 1.2963, 0.296296, 1.25926, 0.259259, 1.22222, 0.222222, 1.18519, 0.185185, 1.14815, 0.148148, 1.11111, 0.111111, 1.07407, 0.0740741, 1.03704, 0.037037, 1, 0]",30\LX\SIGNA_LX1.MR30.1_R01_2322.c,2.9,SWLt9,,,0.072644,,,,
dcm_qa_trt/Ref/Brain_Express_5_minute_11.json,80,1,08:58:59.000000,,,,,,48HAP,,dcm2niix,v1.0.20230706,,,00000000LXTT9NET,,0.0178,,0.000572,30,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER']",127.63769,COL,,GEHC,,,2D,3,GE,SIGNA Premier,,MR,,,,,HFS,100,100,j,,,,6250,,Brain Express 5 minute,,,,80,,2,0.0124817,MP_GEMS\EPI_GEMS\ACC_GEMS\PFF,EP\GR,,SS,EPI mph acc1 interpPF,11,"[0, 0, 0]",2.9,"[1.96296, 0.962963, 1.92593, 0.925926, 1.88889, 0.888889, 1.85185, 0.851852, 1.81481, 0.814815, 1.77778, 0.777778, 1.74074, 0.740741, 1.7037, 0.703704, 1.66667, 0.666667, 1.62963, 0.62963, 1.59259, 0.592593, 1.55556, 0.555556, 1.51852, 0.518518, 1.48148, 0.481481, 1.44444, 0.444444, 1.40741, 0.407407, 1.37037, 0.37037, 1.33333, 0.333333, 1.2963, 0.296296, 1.25926, 0.259259, 1.22222, 0.222222, 1.18519, 0.185185, 1.14815, 0.148148, 1.11111, 0.111111, 1.07407, 0.0740741, 1.03704, 0.037037, 1, 0]",30\LX\SIGNA_LX1.MR30.1_R01_2322.c,2.9,SWLt9,,,0.045188,,,,
dcm_qa_trt/Ref/Brain_Express_5_minute_12.json,80,1,09:03:59.000000,,,,,,48HAP,,dcm2niix,v1.0.20230706,,,00000000LXTT9NET,,0.0176,,0.000276456,30,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER']",127.63769,COL,,GEHC,,,2D,3,GE,SIGNA Premier,,MR,,,2,,HFS,100,100,j,,,,3906.25,,Brain Express 5 minute,,,,128,,2,0.0124817,MP_GEMS\EPI_GEMS\ACC_GEMS,EP\GR,,SS,EPI mph acc2 interpPF,12,"[0, 0, 0]",2.9,"[1.96296, 0.962963, 1.92593, 0.925926, 1.88889, 0.888889, 1.85185, 0.851852, 1.81481, 0.814815, 1.77778, 0.777778, 1.74074, 0.740741, 1.7037, 0.703704, 1.66667, 0.666667, 1.62963, 0.62963, 1.59259, 0.592593, 1.55556, 0.555556, 1.51852, 0.518518, 1.48148, 0.481481, 1.44444, 0.444444, 1.40741, 0.407407, 1.37037, 0.37037, 1.33333, 0.333333, 1.2963, 0.296296, 1.25926, 0.259259, 1.22222, 0.222222, 1.18519, 0.185185, 1.14815, 0.148148, 1.11111, 0.111111, 1.07407, 0.0740741, 1.03704, 0.037037, 1, 0]",30\LX\SIGNA_LX1.MR30.1_R01_2322.c,2.9,SWLt9,,,0.0351099,,,,
dcm_qa_trt/Ref/Brain_Express_5_minute_14.json,80,1,09:07:44.000000,,,,,,48HAP,,dcm2niix,v1.0.20230706,,,00000000LXTT9NET,,0.0142,,0.000191392,30,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER']",127.63769,COL,,GEHC,,,2D,3,GE,SIGNA Premier,,MR,,,3,,HFS,100,100,j,,,,3906.25,,Brain Express 5 minute,,,,128,,2,0.0249634,MP_GEMS\EPI_GEMS\ACC_GEMS,EP\GR,,SS,EPI mph acc3 interpPF,14,"[0, 0, 0]",2.9,"[1.96296, 0.962963, 1.92593, 0.925926, 1.88889, 0.888889, 1.85185, 0.851852, 1.81481, 0.814815, 1.77778, 0.777778, 1.74074, 0.740741, 1.7037, 0.703704, 1.66667, 0.666667, 1.62963, 0.62963, 1.59259, 0.592593, 1.55556, 0.555556, 1.51852, 0.518518, 1.48148, 0.481481, 1.44444, 0.444444, 1.40741, 0.407407, 1.37037, 0.37037, 1.33333, 0.333333, 1.2963, 0.296296, 1.25926, 0.259259, 1.22222, 0.222222, 1.18519, 0.185185, 1.14815, 0.148148, 1.11111, 0.111111, 1.07407, 0.0740741, 1.03704, 0.037037, 1, 0]",30\LX\SIGNA_LX1.MR30.1_R01_2322.c,2.9,SWLt9,,,0.0243068,,,,
dcm_qa_trt/Ref/Brain_Express_5_minute_15.json,80,1,09:09:15.000000,,,,,,48HAP,,dcm2niix,v1.0.20230706,,,00000000LXTT9NET,,0.0142,,0.000191392,30,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER']",127.63769,COL,,GEHC,,,2D,3,GE,SIGNA Premier,,MR,,,3,,HFS,100,100,j,,,,3906.25,,Brain Express 5 minute,,,,128,,2,0.0249634,MP_GEMS\EPI_GEMS\ACC_GEMS,EP\GR,,SS,EPI mph acc3 interpPF,15,"[0, 0, 0]",2.9,"[1.96296, 0.962963, 1.92593, 0.925926, 1.88889, 0.888889, 1.85185, 0.851852, 1.81481, 0.814815, 1.77778, 0.777778, 1.74074, 0.740741, 1.7037, 0.703704, 1.66667, 0.666667, 1.62963, 0.62963, 1.59259, 0.592593, 1.55556, 0.555556, 1.51852, 0.518518, 1.48148, 0.481481, 1.44444, 0.444444, 1.40741, 0.407407, 1.37037, 0.37037, 1.33333, 0.333333, 1.2963, 0.296296, 1.25926, 0.259259, 1.22222, 0.222222, 1.18519, 0.185185, 1.14815, 0.148148, 1.11111, 0.111111, 1.07407, 0.0740741, 1.03704, 0.037037, 1, 0]",30\LX\SIGNA_LX1.MR30.1_R01_2322.c,2.9,SWLt9,,,0.0243068,,,,
dcm_qa_trt/Ref/Brain_Express_5_minute_2.json,80,1,08:24:9.000000,,,,,,48HAP,,dcm2niix,v1.0.20230706,,,00000000LXTT9NET,,0.027,,0.00058,30,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER']",127.63769,COL,,GEHC,,,2D,3,GE,SIGNA Premier,,MR,6,,,,HFS,100,100,j-,,,,3906.25,,Brain Express 5 minute,,,,128,,1,0.0392789,EDR_GEMS\MP_GEMS\EPI_GEMS\HYPERBAND_GEMS,EP\GR,,SS,EPI mph hb6 acc1 interp,2,"[0, 0, 0]",2.7,"[0.444444, 0.888889, 0.333333, 0.777778, 0.222222, 0.666667, 0.111111, 0.555556, 0, 0.444444, 0.888889, 0.333333, 0.777778, 0.222222, 0.666667, 0.111111, 0.555556, 0, 0.444444, 0.888889, 0.333333, 0.777778, 0.222222, 0.666667, 0.111111, 0.555556, 0, 0.444444, 0.888889, 0.333333, 0.777778, 0.222222, 0.666667, 0.111111, 0.555556, 0, 0.444444, 0.888889, 0.333333, 0.777778, 0.222222, 0.666667, 0.111111, 0.555556, 0, 0.444444, 0.888889, 0.333333, 0.777778, 0.222222, 0.666667, 0.111111, 0.555556, 0]",30\LX\SIGNA_LX1.MR30.1_R01_2322.c,2.7,SWLt9,,,0.07366,,,,
dcm_qa_trt/Ref/Brain_Express_5_minute_3.json,80,1,08:26:25.000000,,,,,,48HAP,,dcm2niix,v1.0.20230706,,,00000000LXTT9NET,,0.027,,0.00058,30,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER']",127.63769,COL,,GEHC,,,2D,3,GE,SIGNA Premier,,MR,6,,,,HFS,100,100,j-,,,,6250,,Brain Express 5 minute,,,,80,,1,0.0392789,EDR_GEMS\MP_GEMS\EPI_GEMS\HYPERBAND_GEMS,EP\GR,,SS,EPI mph hb6 acc1 nointerp,3,"[0, 0, 0]",2.7,"[0.444444, 0.888889, 0.333333, 0.777778, 0.222222, 0.666667, 0.111111, 0.555556, 0, 0.444444, 0.888889, 0.333333, 0.777778, 0.222222, 0.666667, 0.111111, 0.555556, 0, 0.444444, 0.888889, 0.333333, 0.777778, 0.222222, 0.666667, 0.111111, 0.555556, 0, 0.444444, 0.888889, 0.333333, 0.777778, 0.222222, 0.666667, 0.111111, 0.555556, 0, 0.444444, 0.888889, 0.333333, 0.777778, 0.222222, 0.666667, 0.111111, 0.555556, 0, 0.444444, 0.888889, 0.333333, 0.777778, 0.222222, 0.666667, 0.111111, 0.555556, 0]",30\LX\SIGNA_LX1.MR30.1_R01_2322.c,2.7,SWLt9,,,0.04582,,,,
dcm_qa_trt/Ref/Brain_Express_5_minute_4.json,80,1,08:31:21.000000,,,,,,48HAP,,dcm2niix,v1.0.20230706,,,00000000LXTT9NET,,0.0152,,0.000280405,30,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER']",127.63769,COL,,GEHC,,,2D,3,GE,SIGNA Premier,,MR,3,,2,,HFS,100,100,j-,,,,3906.25,,Brain Express 5 minute,,,,128,,2,0.0314364,EDR_GEMS\MP_GEMS\EPI_GEMS\HYPERBAND_GEMS\ACC_GEMS,EP\GR,,SS,EPI mph hb3 acc2 interp,4,"[0, 0, 0]",2.7,"[1.77778, 0.888889, 1.88889, 0.777778, 1.66667, 0.666667, 1.55556, 0.555556, 1.44444, 0.444444, 1.33333, 0.333333, 1.22222, 0.222222, 1.11111, 0.111111, 1, 0, 1.77778, 0.888889, 1.88889, 0.777778, 1.66667, 0.666667, 1.55556, 0.555556, 1.44444, 0.444444, 1.33333, 0.333333, 1.22222, 0.222222, 1.11111, 0.111111, 1, 0, 1.77778, 0.888889, 1.88889, 0.777778, 1.66667, 0.666667, 1.55556, 0.555556, 1.44444, 0.444444, 1.33333, 0.333333, 1.22222, 0.222222, 1.11111, 0.111111, 1, 0]",30\LX\SIGNA_LX1.MR30.1_R01_2322.c,2.7,SWLt9,,,0.0356114,,,,
dcm_qa_trt/Ref/Brain_Express_5_minute_5.json,80,1,08:38:32.000000,,,,,,48HAP,,dcm2niix,v1.0.20230706,,,00000000LXTT9NET,,0.0152,,0.000280405,30,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER']",127.63769,COL,,GEHC,,,2D,3,GE,SIGNA Premier,,MR,3,,2,,HFS,100,100,j-,,,,6250,,Brain Express 5 minute,,,,80,,2,0.0314364,EDR_GEMS\MP_GEMS\EPI_GEMS\HYPERBAND_GEMS\ACC_GEMS,EP\GR,,SS,EPI mph hb3 acc2 nointerp,5,"[0, 0, 0]",2.7,"[1.77778, 0.888889, 1.88889, 0.777778, 1.66667, 0.666667, 1.55556, 0.555556, 1.44444, 0.444444, 1.33333, 0.333333, 1.22222, 0.222222, 1.11111, 0.111111, 1, 0, 1.77778, 0.888889, 1.88889, 0.777778, 1.66667, 0.666667, 1.55556, 0.555556, 1.44444, 0.444444, 1.33333, 0.333333, 1.22222, 0.222222, 1.11111, 0.111111, 1, 0, 1.77778, 0.888889, 1.88889, 0.777778, 1.66667, 0.666667, 1.55556, 0.555556, 1.44444, 0.444444, 1.33333, 0.333333, 1.22222, 0.222222, 1.11111, 0.111111, 1, 0]",30\LX\SIGNA_LX1.MR30.1_R01_2322.c,2.7,SWLt9,,,0.022152,,,,
dcm_qa_trt/Ref/Brain_Express_5_minute_6.json,80,1,08:43:21.000000,,,,,,48HAP,,dcm2niix,v1.0.20230706,,,00000000LXTT9NET,,0.0117,,0.000192759,30,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'OTHER']",127.63769,COL,,GEHC,,,2D,3,GE,SIGNA Premier,,MR,2,,3,,HFS,100,100,j-,,,,3906.25,,Brain Express 5 minute,,,,128,,2,0.0432334,EDR_GEMS\MP_GEMS\EPI_GEMS\HYPERBAND_GEMS\ACC_GEMS,EP\GR,,SS,EPI mph hb2 acc3 interp,6,"[0, 0, 0]",2.7,"[0.962963, 1.92593, 0.888889, 1.85185, 0.814815, 1.77778, 0.740741, 1.7037, 0.666667, 1.62963, 0.592593, 1.55556, 0.518518, 1.48148, 0.444444, 1.40741, 0.37037, 1.33333, 0.296296, 1.25926, 0.222222, 1.18519, 0.148148, 1.11111, 0.0740741, 1.03704, 0, 0.962963, 1.92593, 0.888889, 1.85185, 0.814815, 1.77778, 0.740741, 1.7037, 0.666667, 1.62963, 0.592593, 1.55556, 0.518518, 1.48148, 0.444444, 1.40741, 0.37037, 1.33333, 0.296296, 1.25926, 0.222222, 1.18519, 0.148148, 1.11111, 0.0740741, 1.03704, 0]",30\LX\SIGNA_LX1.MR30.1_R01_2322.c,2.7,SWLt9,,,0.0244805,,,,
