Path,AcquisitionMatrixPE,AcquisitionNumber,AcquisitionTime,BandwidthPerPixelPhaseEncode,BaseResolution,BidsGuess,BodyPart,CoilCombinationMethod,CoilString,ConsistencyInfo,ConversionSoftware,ConversionSoftwareVersion,DelayTime,DerivedVendorReportedEchoSpacing,DeviceSerialNumber,DwellTime,EchoTime,EchoTrainLength,EffectiveEchoSpacing,FlipAngle,ImageComments,ImageOrientationPatientDICOM,ImageOrientationText,ImageType,ImagingFrequency,InPlanePhaseEncodingDirectionDICOM,InstitutionAddress,InstitutionName,InstitutionalDepartmentName,Interpolation2D,MRAcquisitionType,MagneticFieldStrength,Manufacturer,ManufacturersModelName,MatrixCoilMode,Modality,MultibandAccelerationFactor,NonlinearGradientCorrection,ParallelReductionFactorInPlane,PartialFourier,PatientPosition,PercentPhaseFOV,PercentSampling,PhaseEncodingDirection,PhaseEncodingSteps,PhaseOversampling,PhaseResolution,PixelBandwidth,ProcedureStepDescription,ProtocolName,PulseSequenceDetails,ReceiveCoilActiveElements,ReceiveCoilName,ReconMatrixPE,RefLinesPE,RepetitionTime,SAR,ScanOptions,ScanningSequence,SequenceName,SequenceVariant,SeriesDescription,SeriesNumber,ShimSetting,SliceThickness,SliceTiming,SoftwareVersions,SpacingBetweenSlices,StationName,StudyDescription,TablePosition,TotalReadoutTime,TxRefAmp,VendorReportedEchoSpacing,WipMemBlock,Error
dcm_qa_xa30i/Ref/10001_gre_field_mapping_e2_ph.json,64,1,19:41:33.480000,,64,,,Adaptive Combine,HeadNeck_64,,dcm2niix,v1.0.20230121,,,67093,3e-05,0.01246,,,90,,"[0.991369, 0.119141, -0.0546986, -0.127701, 0.971973, -0.197384]",,"['ORIGINAL', 'PRIMARY', 'P', 'DIS2D', 'MFSPLIT', 'PHASE']",123.263,COL,"East 10th Street 1101,Bloomington,IN,US,47405",Indiana University Psychology Department,,,2D,3,Siemens,MAGNETOM Prisma Fit,SENSE,MR,,True,,1,HFS,100,100,j-,64,,1,260,Cheng test,gre_field_mapping,%SiemensSeq%\gre_field_mapping,HC3-7;NC1,HeadNeck_64,64,,0.6,0.10763,PER,GR,*fm2d2r,SK,gre_field_mapping,10001,"[1960, -5851, -1774, -1263, 151, -696, -3, 127]",3.4,"[0, 0.3075, 0.0175, 0.325, 0.035, 0.345, 0.0525, 0.3625, 0.0725, 0.38, 0.09, 0.4, 0.1075, 0.4175, 0.125, 0.435, 0.145, 0.4525, 0.1625, 0.4725, 0.18, 0.49, 0.2, 0.5075, 0.2175, 0.525, 0.235, 0.545, 0.2525, 0.5625, 0.2725, 0.58, 0.29]",syngo MR XA30,3.4,MRC35062,,,,193.254,,,
dcm_qa_xa30i/Ref/1001_AAHead_Scout.json,160,1,19:36:6.675000,,160,,,Adaptive Combine,HeadNeck_64,,dcm2niix,v1.0.20230121,,,67093,5.8e-06,0.00137,,,8,,"[0, 1, 0, 0, 0, -1]",,"['ORIGINAL', 'PRIMARY', 'M', 'NORM', 'DIS3D', 'MFSPLIT']",123.262,ROW,"East 10th Street 1101,Bloomington,IN,US,47405",Indiana University Psychology Department,,,3D,3,Siemens,MAGNETOM Prisma Fit,GRAPPA,MR,,True,3,0.75,HFS,100,100,,160,,1,539,Cheng test,AAHead_Scout,%SiemensSeq%\AALScout,HC1-7;NC1,HeadNeck_64,160,24,0.00315,0.0141178,PFP\PFF\PER,GR,*fl3d1_ns,SK,AAHead_Scout,1001,"[2028, -5943, -2031, 76, -121, -7, -48, 49]",1.6,,syngo MR XA30,,MRC35062,,,,193.254,,,
dcm_qa_xa30i/Ref/11001_DWI_dir80_AP.json,72,1,19:43:30.342500,20.73,72,,,Sum of Squares,HeadNeck_64,,dcm2niix,v1.0.20230121,,0.00066999,67093,3.9e-06,0.068,54,0.00066999,78,Unaliased MB3/PE3/LB SENSE1,"[0.991369, 0.119141, -0.0546986, -0.127701, 0.971973, -0.197384]",,"['ORIGINAL', 'PRIMARY', 'DIFFUSION', 'NONE', 'MB', 'ND', 'MFSPLIT']",123.263,COL,"East 10th Street 1101,Bloomington,IN,US,47405",Indiana University Psychology Department,,,2D,3,Siemens,MAGNETOM Prisma Fit,SENSE,MR,3,False,,0.75,HFS,100,100,j-,72,,1,1781,Cheng test,DWI_dir80_AP,%CustomerSeq%\cmrr_mbep2d_diff,HC3-7;NC1,HeadNeck_64,72,,3.516,0.0504495,PFP\FS\PER,GR\EP,ep_b0,SK,DWI_dir80_AP,11001,"[1959, -5849, -1769, -1281, 156, -708, -3, 128]",3,"[0, 1.8825, 0.27, 2.1525, 0.5375, 2.42, 0.8075, 2.69, 1.0775, 2.96, 1.345, 3.2275, 1.615, 0, 1.8825, 0.27, 2.1525, 0.5375, 2.42, 0.8075, 2.69, 1.0775, 2.96, 1.345, 3.2275, 1.615, 0, 1.8825, 0.27, 2.1525, 0.5375, 2.42, 0.8075, 2.69, 1.0775, 2.96, 1.345, 3.2275, 1.615]",syngo MR XA30,3,MRC35062,,,0.0475693,193.254,,ff6793e8-2ec0-4b32-aecd-bbd8d6652318||Sequence: R017 nxva30a/master r/d34922cc2+; Jun 27 2022 13:23:04 by eja,
dcm_qa_xa30i/Ref/12001_DWI_dir80_AP.json,72,1,19:43:30.342500,20.73,72,,,Sum of Squares,HeadNeck_64,,dcm2niix,v1.0.20230121,,0.00066999,67093,3.9e-06,0.068,54,0.00066999,78,Unaliased MB3/PE3/LB SENSE1,"[0.991369, 0.119141, -0.0546986, -0.127701, 0.971973, -0.197384]",,"['DERIVED', 'PRIMARY', 'DIFFUSION', 'ADC', 'MB', 'ND', 'MFSPLIT']",123.263,COL,"East 10th Street 1101,Bloomington,IN,US,47405",Indiana University Psychology Department,,,2D,3,Siemens,MAGNETOM Prisma Fit,SENSE,MR,3,False,,0.75,HFS,100,100,j-,72,,1,1781,Cheng test,DWI_dir80_AP,%CustomerSeq%\cmrr_mbep2d_diff,HC3-7;NC1,HeadNeck_64,72,,3.516,0.0504495,PFP\FS\PER,GR\EP,ep_b0_2500,SK,DWI_dir80_AP_ADC,12001,"[1959, -5849, -1769, -1281, 156, -708, -3, 128]",3,"[0, 1.8825, 0.27, 2.1525, 0.5375, 2.42, 0.8075, 2.69, 1.0775, 2.96, 1.345, 3.2275, 1.615, 0, 1.8825, 0.27, 2.1525, 0.5375, 2.42, 0.8075, 2.69, 1.0775, 2.96, 1.345, 3.2275, 1.615, 0, 1.8825, 0.27, 2.1525, 0.5375, 2.42, 0.8075, 2.69, 1.0775, 2.96, 1.345, 3.2275, 1.615]",syngo MR XA30,3,MRC35062,,,0.0475693,193.254,,ff6793e8-2ec0-4b32-aecd-bbd8d6652318||Sequence: R017 nxva30a/master r/d34922cc2+; Jun 27 2022 13:23:04 by eja,
dcm_qa_xa30i/Ref/13001_DWI_dir80_AP.json,72,1,19:43:30.342500,20.73,72,,,Sum of Squares,HeadNeck_64,,dcm2niix,v1.0.20230121,,0.00066999,67093,3.9e-06,0.068,54,0.00066999,78,Unaliased MB3/PE3/LB SENSE1,"[0.991369, 0.119141, -0.0546986, -0.127701, 0.971973, -0.197384]",,"['DERIVED', 'PRIMARY', 'DIFFUSION', 'TRACEW', 'MB', 'ND', 'MFSPLIT']",123.263,COL,"East 10th Street 1101,Bloomington,IN,US,47405",Indiana University Psychology Department,,,2D,3,Siemens,MAGNETOM Prisma Fit,SENSE,MR,3,False,,0.75,HFS,100,100,j-,72,,1,1781,Cheng test,DWI_dir80_AP,%CustomerSeq%\cmrr_mbep2d_diff,HC3-7;NC1,HeadNeck_64,72,,3.516,0.0504495,PFP\FS\PER,GR\EP,ep_b2500t,SK,DWI_dir80_AP_TRACEW,13001,"[1959, -5849, -1769, -1281, 156, -708, -3, 128]",3,"[0, 1.8825, 0.27, 2.1525, 0.5375, 2.42, 0.8075, 2.69, 1.0775, 2.96, 1.345, 3.2275, 1.615, 0, 1.8825, 0.27, 2.1525, 0.5375, 2.42, 0.8075, 2.69, 1.0775, 2.96, 1.345, 3.2275, 1.615, 0, 1.8825, 0.27, 2.1525, 0.5375, 2.42, 0.8075, 2.69, 1.0775, 2.96, 1.345, 3.2275, 1.615]",syngo MR XA30,3,MRC35062,,,0.0475693,193.254,,ff6793e8-2ec0-4b32-aecd-bbd8d6652318||Sequence: R017 nxva30a/master r/d34922cc2+; Jun 27 2022 13:23:04 by eja,
dcm_qa_xa30i/Ref/14001_DWI_dir80_AP.json,72,1,19:43:30.342500,20.73,72,,,Sum of Squares,HeadNeck_64,,dcm2niix,v1.0.20230121,,0.00066999,67093,3.9e-06,0.068,54,0.00066999,78,Unaliased MB3/PE3/LB SENSE1,"[0.991369, 0.119141, -0.0546986, -0.127701, 0.971973, -0.197384]",,"['DERIVED', 'PRIMARY', 'DIFFUSION', 'FA', 'MB', 'ND', 'MFSPLIT']",123.263,COL,"East 10th Street 1101,Bloomington,IN,US,47405",Indiana University Psychology Department,,,2D,3,Siemens,MAGNETOM Prisma Fit,SENSE,MR,3,False,,0.75,HFS,100,100,j-,72,,1,1781,Cheng test,DWI_dir80_AP,%CustomerSeq%\cmrr_mbep2d_diff,HC3-7;NC1,HeadNeck_64,72,,3.516,0.0504495,PFP\FS\PER,GR\EP,ep_b0_2500,SK,DWI_dir80_AP_FA,14001,"[1959, -5849, -1769, -1281, 156, -708, -3, 128]",3,"[0, 1.8825, 0.27, 2.1525, 0.5375, 2.42, 0.8075, 2.69, 1.0775, 2.96, 1.345, 3.2275, 1.615, 0, 1.8825, 0.27, 2.1525, 0.5375, 2.42, 0.8075, 2.69, 1.0775, 2.96, 1.345, 3.2275, 1.615, 0, 1.8825, 0.27, 2.1525, 0.5375, 2.42, 0.8075, 2.69, 1.0775, 2.96, 1.345, 3.2275, 1.615]",syngo MR XA30,3,MRC35062,,,0.0475693,193.254,,ff6793e8-2ec0-4b32-aecd-bbd8d6652318||Sequence: R017 nxva30a/master r/d34922cc2+; Jun 27 2022 13:23:04 by eja,
dcm_qa_xa30i/Ref/15001_DWI_dir80_AP.json,72,1,19:43:30.342500,20.73,72,,,Sum of Squares,,,dcm2niix,v1.0.20230121,,0.00066999,67093,3.9e-06,,,0.00066999,,Unaliased MB3/PE3/LB SENSE1,,,"['DERIVED', 'PRIMARY', 'DIFFUSION', 'FA', 'MB', 'ND', 'RGB', 'MFSPLIT']",,,"East 10th Street 1101,Bloomington,IN,US,47405",Indiana University Psychology Department,,,,,Siemens,MAGNETOM Prisma Fit,SENSE,MR,3,False,,0.75,HFS,,,,,,1,,Cheng test,DWI_dir80_AP,%CustomerSeq%\cmrr_mbep2d_diff,HC3-7;NC1,HeadNeck_64,72,,,,PFP\FS,,,,DWI_dir80_AP_ColFA,15001,"[1959, -5849, -1769, -1281, 156, -708, -3, 128]",,,syngo MR XA30,,MRC35062,,,0.0475693,193.254,,ff6793e8-2ec0-4b32-aecd-bbd8d6652318||Sequence: R017 nxva30a/master r/d34922cc2+; Jun 27 2022 13:23:04 by eja,
dcm_qa_xa30i/Ref/17001_DWI_dir80_AP.json,72,1,19:43:30.342500,20.73,72,,,Sum of Squares,HeadNeck_64,,dcm2niix,v1.0.20230121,,0.00066999,67093,3.9e-06,0.068,54,0.00066999,78,Unaliased MB3/PE3/LB SENSE1,"[0.991369, 0.119141, -0.0546986, -0.127701, 0.971973, -0.197384]",,"['DERIVED', 'PRIMARY', 'DIFFUSION', 'TENSOR', 'B0', 'MB', 'ND', 'MFSPLIT']",123.263,COL,"East 10th Street 1101,Bloomington,IN,US,47405",Indiana University Psychology Department,,,2D,3,Siemens,MAGNETOM Prisma Fit,SENSE,MR,3,False,,0.75,HFS,100,100,j-,72,,1,1781,Cheng test,DWI_dir80_AP,%CustomerSeq%\cmrr_mbep2d_diff,HC3-7;NC1,HeadNeck_64,72,,3.516,0.0504495,PFP\FS\PER,GR\EP,ep_b0_2500,SK,DWI_dir80_AP_TENSOR_B0,17001,"[1959, -5849, -1769, -1281, 156, -708, -3, 128]",3,"[0, 1.8825, 0.27, 2.1525, 0.5375, 2.42, 0.8075, 2.69, 1.0775, 2.96, 1.345, 3.2275, 1.615, 0, 1.8825, 0.27, 2.1525, 0.5375, 2.42, 0.8075, 2.69, 1.0775, 2.96, 1.345, 3.2275, 1.615, 0, 1.8825, 0.27, 2.1525, 0.5375, 2.42, 0.8075, 2.69, 1.0775, 2.96, 1.345, 3.2275, 1.615]",syngo MR XA30,3,MRC35062,,,0.0475693,193.254,,ff6793e8-2ec0-4b32-aecd-bbd8d6652318||Sequence: R017 nxva30a/master r/d34922cc2+; Jun 27 2022 13:23:04 by eja,
dcm_qa_xa30i/Ref/18001_asl_2d_tra.json,64,1,19:45:3.870000,39.063,64,,,Adaptive Combine,HeadNeck_64,,dcm2niix,v1.0.20230121,,0.000399995,67093,2.6e-06,0.011,48,0.000399995,90,,"[0.999891, 0.00176643, 0.014663, -2.46447e-09, 0.992822, -0.119604]",,"['ORIGINAL', 'PRIMARY', 'ASL', 'NONE', 'NORM', 'DIS2D', 'MFSPLIT']",123.263,COL,"East 10th Street 1101,Bloomington,IN,US,47405",Indiana University Psychology Department,,,2D,3,Siemens,MAGNETOM Prisma Fit,SENSE,MR,,True,,0.75,HFS,100,100,j-,64,,1,3005,Cheng test,asl_2d_tra,%SiemensSeq%\ep2d_asl,HC3-6,HeadNeck_64,64,,4.8,0.172607,SP\PFP\FS\PER,GR\EP,*epfid2d1_64,SK,asl_2d_tra,18001,"[1961, -5858, -1775, -1514, 190, -831, -15, 132]",6,"[0, 0.0375, 0.075, 0.115, 0.1525, 0.1925, 0.23, 0.2675, 0.3075, 0.345, 0.385, 0.4225]",syngo MR XA30,7.5,MRC35062,,,0.0251997,193.254,,,
dcm_qa_xa30i/Ref/19001_asl_2d_tra_e1.json,64,1,19:45:32.670000,39.063,64,,,Adaptive Combine,HeadNeck_64,,dcm2niix,v1.0.20230121,,0.000399995,67093,2.6e-06,0.011,48,0.000399995,90,Perfusion Weighted Image (PCASL),"[0.999891, 0.00176643, 0.014663, -2.46447e-09, 0.992822, -0.119604]",,"['DERIVED', 'PRIMARY', 'ASL', 'NORM', 'DIS2D', 'SUB', 'TTEST', 'MFSPLIT']",123.263,COL,"East 10th Street 1101,Bloomington,IN,US,47405",Indiana University Psychology Department,,,2D,3,Siemens,MAGNETOM Prisma Fit,SENSE,MR,,True,,0.75,HFS,100,100,j-,64,,1,3005,Cheng test,asl_2d_tra,%SiemensSeq%\ep2d_asl,HC3-6,HeadNeck_64,64,,4.8,0.172607,SP\PFP\FS\PER,GR\EP,*epfid2d1_64,SK,Perfusion_Weighted,19001,"[1961, -5858, -1775, -1514, 190, -831, -15, 132]",6,"[0, 0.0375, 0.075, 0.115, 0.1525, 0.1925, 0.23, 0.2675, 0.3075, 0.345, 0.385, 0.4225]",syngo MR XA30,7.5,MRC35062,,,0.0251997,193.254,,,
