Path,AcquisitionMatrixPE,AcquisitionNumber,AcquisitionTime,BandwidthPerPixelPhaseEncode,BaseResolution,BidsGuess,BodyPart,CoilCombinationMethod,CoilString,ConsistencyInfo,ConversionSoftware,ConversionSoftwareVersion,DelayTime,DerivedVendorReportedEchoSpacing,DeviceSerialNumber,DwellTime,EchoTime,EchoTrainLength,EffectiveEchoSpacing,FlipAngle,ImageComments,ImageOrientationPatientDICOM,ImageOrientationText,ImageType,ImagingFrequency,InPlanePhaseEncodingDirectionDICOM,InstitutionAddress,InstitutionName,InstitutionalDepartmentName,Interpolation2D,MRAcquisitionType,MagneticFieldStrength,Manufacturer,ManufacturersModelName,MatrixCoilMode,Modality,MultibandAccelerationFactor,NonlinearGradientCorrection,ParallelReductionFactorInPlane,PartialFourier,PatientPosition,PercentPhaseFOV,PercentSampling,PhaseEncodingDirection,PhaseEncodingSteps,PhaseOversampling,PhaseResolution,PixelBandwidth,ProcedureStepDescription,ProtocolName,PulseSequenceDetails,ReceiveCoilActiveElements,ReceiveCoilName,ReconMatrixPE,RefLinesPE,RepetitionTime,SAR,ScanOptions,ScanningSequence,SequenceName,SequenceVariant,SeriesDescription,SeriesNumber,ShimSetting,SliceThickness,SliceTiming,SoftwareVersions,SpacingBetweenSlices,StationName,StudyDescription,TablePosition,TotalReadoutTime,TxRefAmp,VendorReportedEchoSpacing,WipMemBlock,Error
dcm_qa_xa60/Ref/phantom_check_MBfactor_CimaX_XA61_10_C2P_cmrr_mbep2d_bold_p2_mb2.json,100,1,10:54:38.987500,17.241,100,"['func', '_acq-epfid2p2_dir-PA_run-10_bold']",BRAIN,Sum of Squares,HeadNeck_64_CS,66110001,dcm2niix,v1.0.20260416,,0.00116003,213017,5e-06,0.0348,49,0.000580013,42,"Not for diagnostic use, Unaliased MB2/PE4/LB","[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'FMRI', 'NONE', 'MAGNITUDE']",123.240675,COL,"Boulevard de l Hopital 47,Paris,,FR,75013",Institute du Cerveau,IRM,,2D,3,Siemens,MAGNETOM Cima.X,GRAPPA,MR,2,True,2,1,HFS,100,100,j,100,,1,1000,PHANTOM PHANTOM_TEST,C2P__cmrr_mbep2d_bold__p2_mb2,%CustomerSeq%\cmrr_mbep2d_bold,HC3-7,HeadNeck_64_CS,100,32,1.23,,FS,EP,,SK\SS,C2P__cmrr_mbep2d_bold__p2_mb2,10,"[177, -4924, 32, -1601, 55, 789, -198, 85]",2,"[0, 0.725, 0.2425, 0.9675, 0.4825, 0, 0.725, 0.2425, 0.9675, 0.4825]",syngo MR XA61,2,AWP213017,PHANTOM PHANTOM_TEST,"[0, 0, 0]",0.0574213,293.957,,624ced55-2492-4414-aafa-b2b16dc49e5e||Sequence: R017 nxva61a/main r/ebb919c16; May 21 2024 10:49:50 by eja,
dcm_qa_xa60/Ref/phantom_check_MBfactor_CimaX_XA61_12_C2P_cmrr_mbep2d_bold_p2_mb5.json,100,1,10:55:48.637500,15.873,100,"['func', '_acq-epfid2p2_dir-PA_run-12_bold']",BRAIN,Sum of Squares,HeadNeck_64_CS,66110001,dcm2niix,v1.0.20260416,,0.00126,213017,5e-06,0.038,49,0.000630001,42,"Not for diagnostic use, Unaliased MB5/PE4/LB","[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'FMRI', 'NONE', 'MAGNITUDE']",123.240676,COL,"Boulevard de l Hopital 47,Paris,,FR,75013",Institute du Cerveau,IRM,,2D,3,Siemens,MAGNETOM Cima.X,GRAPPA,MR,5,True,2,1,HFS,100,100,j,100,,1,1000,PHANTOM PHANTOM_TEST,C2P__cmrr_mbep2d_bold__p2_mb5,%CustomerSeq%\cmrr_mbep2d_bold,HC3-7,HeadNeck_64_CS,100,32,1.23,,FS,EP,,SK\SS,C2P__cmrr_mbep2d_bold__p2_mb5,12,"[177, -4924, 32, -1601, 55, 789, -198, 85]",2,"[0, 0.605, 0, 0.605, 0, 0.605, 0, 0.605, 0, 0.605]",syngo MR XA61,2,AWP213017,PHANTOM PHANTOM_TEST,"[0, 0, 0]",0.0623701,293.957,,bd2e4670-9ec3-47fb-a8c3-a36b50d1585b||Sequence: R017 nxva61a/main r/ebb919c16; May 21 2024 10:49:50 by eja,
dcm_qa_xa60/Ref/phantom_check_MBfactor_CimaX_XA61_14_PRODUCT_ep2d_diff_p2_sms1.json,100,,10:59:56.375000,18.519,100,"['derived', '_acq-epse2p2_dir-PA_run-14_dwi']",BRAIN,Adaptive Combine,HeadNeck_64_CS,66110001,dcm2niix,v1.0.20260416,,0.00107997,213017,5e-06,0.08,37,0.000539986,90,,"[1, 0, 0, 0, 1, 0]",,"['DERIVED', 'PRIMARY', 'DIFFUSION', 'TRACEW', 'MAGNITUDE']",123.240676,COL,"Boulevard de l Hopital 47,Paris,,FR,75013",Institute du Cerveau,IRM,,2D,3,Siemens,MAGNETOM Cima.X,,MR,,True,2,0.75,HFS,100,100,j,100,,1,1000,PHANTOM PHANTOM_TEST,PRODUCT__ep2d_diff__p2_sms1,%SiemensSeq%\ep2d_diff,HC3-7,HeadNeck_64_CS,100,24,3,,PFP\FS,EP,,SK\SP,PRODUCT__ep2d_diff__p2_sms1_TRACEW,14,"[177, -4924, 32, -1601, 55, 789, -198, 85]",2,"[1.49, 0, 1.7875, 0.2975, 2.085, 0.595, 2.385, 0.895, 2.6825, 1.1925]",syngo MR XA61,2,AWP213017,PHANTOM PHANTOM_TEST,"[0, 0, 0]",0.0534586,293.957,,,
dcm_qa_xa60/Ref/phantom_check_MBfactor_CimaX_XA61_15_PRODUCT_ep2d_diff_p2_sms2.json,100,,11:00:16.417500,16.949,100,"['derived', '_acq-epse2p2m2_dir-PA_run-15_dwi']",BRAIN,Adaptive Combine,HeadNeck_64_CS,66110001,dcm2niix,v1.0.20260416,,0.00118001,213017,5e-06,0.08,37,0.000590005,90,,"[1, 0, 0, 0, 1, 0]",,"['DERIVED', 'PRIMARY', 'DIFFUSION', 'TRACEW', 'MAGNITUDE']",123.240676,COL,"Boulevard de l Hopital 47,Paris,,FR,75013",Institute du Cerveau,IRM,,2D,3,Siemens,MAGNETOM Cima.X,,MR,2,True,2,0.75,HFS,100,100,j,100,,1,1000,PHANTOM PHANTOM_TEST,PRODUCT__ep2d_diff__p2_sms2,%SiemensSeq%\ep2d_diff,HC3-7,HeadNeck_64_CS,100,24,3,,PFP\FS,EP,,SK\SP,PRODUCT__ep2d_diff__p2_sms2_TRACEW,15,"[177, -4924, 32, -1601, 55, 789, -198, 85]",2,"[0, 1.7875, 0.595, 2.3825, 1.1925, 0, 1.7875, 0.595, 2.3825, 1.1925]",syngo MR XA61,2,AWP213017,PHANTOM PHANTOM_TEST,"[0, 0, 0]",0.0584105,293.957,,,
dcm_qa_xa60/Ref/phantom_check_MBfactor_CimaX_XA61_16_C2P_cmrr_mbep2d_diff_p2_mb1.json,100,1,11:02:38.090000,18.519,100,"['dwi', '_acq-epse2p2_dir-AP_run-16_dwi']",BRAIN,Sum of Squares,HeadNeck_64_CS,66110001,dcm2niix,v1.0.20260416,,0.00107997,213017,5e-06,0.1,37,0.000539986,90,Not for diagnostic use,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'DIFFUSION', 'NONE', 'MAGNITUDE']",123.240676,COL,"Boulevard de l Hopital 47,Paris,,FR,75013",Institute du Cerveau,IRM,,2D,3,Siemens,MAGNETOM Cima.X,GRAPPA,MR,,False,2,0.75,HFS,100,100,j-,100,,1,1000,PHANTOM PHANTOM_TEST,C2P__cmrr_mbep2d_diff__p2_mb1,%CustomerSeq%\cmrr_mbep2d_diff,HC3-7,HeadNeck_64_CS,100,24,3,,PFP\FS,EP,,SK\SS,C2P__cmrr_mbep2d_diff__p2_mb1,16,"[177, -4924, 32, -1601, 55, 789, -198, 85]",2,"[1.49, 0, 1.7875, 0.2975, 2.0875, 0.5975, 2.385, 0.895, 2.6825, 1.1925]",syngo MR XA61,2,AWP213017,PHANTOM PHANTOM_TEST,"[0, 0, 0]",0.0534586,293.957,,9672d8c4-a472-42f0-b128-e6cd44e7f66a||Sequence: R017 nxva61a/main r/ebb919c16; May 21 2024 11:06:40 by eja,
dcm_qa_xa60/Ref/phantom_check_MBfactor_CimaX_XA61_18_C2P_cmrr_mbep2d_diff_p2_mb2.json,100,1,11:03:31.582500,17.241,100,"['dwi', '_acq-epse2p2_dir-AP_run-18_dwi']",BRAIN,Sum of Squares,HeadNeck_64_CS,66110001,dcm2niix,v1.0.20260416,,0.00116003,213017,5e-06,0.1,37,0.000580013,90,"Not for diagnostic use, Unaliased MB2/PE4/LB","[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'DIFFUSION', 'NONE', 'MAGNITUDE']",123.240676,COL,"Boulevard de l Hopital 47,Paris,,FR,75013",Institute du Cerveau,IRM,,2D,3,Siemens,MAGNETOM Cima.X,GRAPPA,MR,2,False,2,0.75,HFS,100,100,j-,100,,1,1000,PHANTOM PHANTOM_TEST,C2P__cmrr_mbep2d_diff__p2_mb2,%CustomerSeq%\cmrr_mbep2d_diff,HC3-7,HeadNeck_64_CS,100,24,3,,PFP\FS,EP,,SK\SS,C2P__cmrr_mbep2d_diff__p2_mb2,18,"[177, -4924, 32, -1601, 55, 789, -198, 85]",2,"[0, 1.79, 0.5975, 2.385, 1.1925, 0, 1.79, 0.5975, 2.385, 1.1925]",syngo MR XA61,2,AWP213017,PHANTOM PHANTOM_TEST,"[0, 0, 0]",0.0574213,293.957,,746dd344-dfd5-483d-ab68-d0351c12dc65||Sequence: R017 nxva61a/main r/ebb919c16; May 21 2024 11:06:40 by eja,
dcm_qa_xa60/Ref/phantom_check_MBfactor_CimaX_XA61_2_PRODUCT_ep2d_bold_p2_sms1.json,100,1,10:49:11.627500,18.868,100,"['func', '_acq-epfid2p2_dir-PA_run-2_bold']",BRAIN,Sum of Squares,HeadNeck_64_CS,66110001,dcm2niix,v1.0.20260416,,0.00106,213017,4.8e-06,0.033,49,0.000529998,42,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'FMRI', 'NONE', 'MAGNITUDE']",123.240675,COL,"Boulevard de l Hopital 47,Paris,,FR,75013",Institute du Cerveau,IRM,,2D,3,Siemens,MAGNETOM Cima.X,,MR,,True,2,1,HFS,100,100,j,100,,1,1042,PHANTOM PHANTOM_TEST,PRODUCT__ep2d_bold__p2_sms1,%SiemensSeq%\ep2d_bold,HC3-7,HeadNeck_64_CS,100,32,1.23,,FS,EP,,SK,PRODUCT__ep2d_bold__p2_sms1,2,"[177, -4924, 32, -1601, 55, 789, -198, 85]",2,"[0.605, 0, 0.7275, 0.1225, 0.8475, 0.2425, 0.9675, 0.3625, 1.09, 0.485]",syngo MR XA61,2,AWP213017,PHANTOM PHANTOM_TEST,"[0, 0, 0]",0.0524698,293.957,,,
dcm_qa_xa60/Ref/phantom_check_MBfactor_CimaX_XA61_4_PRODUCT_ep2d_bold_p2_sms2.json,100,1,10:49:58.137500,17.241,100,"['func', '_acq-epfid2p2m2_dir-PA_run-4_bold']",BRAIN,Sum of Squares,HeadNeck_64_CS,66110001,dcm2niix,v1.0.20260416,,0.00116003,213017,4.8e-06,0.036,49,0.000580013,42,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'FMRI', 'NONE', 'MAGNITUDE']",123.240676,COL,"Boulevard de l Hopital 47,Paris,,FR,75013",Institute du Cerveau,IRM,,2D,3,Siemens,MAGNETOM Cima.X,,MR,2,True,2,1,HFS,100,100,j,100,,1,1042,PHANTOM PHANTOM_TEST,PRODUCT__ep2d_bold__p2_sms2,%SiemensSeq%\ep2d_bold,HC3-7,HeadNeck_64_CS,100,32,1.23,,FS,EP,,SK,PRODUCT__ep2d_bold__p2_sms2,4,"[177, -4924, 32, -1601, 55, 789, -198, 85]",2,"[0, 0.725, 0.2425, 0.9675, 0.4825, 0, 0.725, 0.2425, 0.9675, 0.4825]",syngo MR XA61,2,AWP213017,PHANTOM PHANTOM_TEST,"[0, 0, 0]",0.0574213,293.957,,,
dcm_qa_xa60/Ref/phantom_check_MBfactor_CimaX_XA61_6_PRODUCT_ep2d_bold_p2_sms5.json,100,1,10:50:25.937500,15.873,100,"['func', '_acq-epfid2p2m5_dir-PA_run-6_bold']",BRAIN,Sum of Squares,HeadNeck_64_CS,66110001,dcm2niix,v1.0.20260416,,0.00126,213017,4.8e-06,0.039,49,0.000630001,42,,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'FMRI', 'NONE', 'MAGNITUDE']",123.240676,COL,"Boulevard de l Hopital 47,Paris,,FR,75013",Institute du Cerveau,IRM,,2D,3,Siemens,MAGNETOM Cima.X,,MR,5,True,2,1,HFS,100,100,j,100,,1,1042,PHANTOM PHANTOM_TEST,PRODUCT__ep2d_bold__p2_sms5,%SiemensSeq%\ep2d_bold,HC3-7,HeadNeck_64_CS,100,32,1.23,,FS,EP,,SK,PRODUCT__ep2d_bold__p2_sms5,6,"[177, -4924, 32, -1601, 55, 789, -198, 85]",2,"[0.605, 0, 0.605, 0, 0.605, 0, 0.605, 0, 0.605, 0]",syngo MR XA61,2,AWP213017,PHANTOM PHANTOM_TEST,"[0, 0, 0]",0.0623701,293.957,,,
dcm_qa_xa60/Ref/phantom_check_MBfactor_CimaX_XA61_8_C2P_cmrr_mbep2d_bold_p2_mb1.json,100,1,10:54:10.697500,18.519,100,"['func', '_acq-epfid2p2_dir-PA_run-8_bold']",BRAIN,Sum of Squares,HeadNeck_64_CS,66110001,dcm2niix,v1.0.20260416,,0.00107997,213017,5e-06,0.033,49,0.000539986,42,Not for diagnostic use,"[1, 0, 0, 0, 1, 0]",,"['ORIGINAL', 'PRIMARY', 'FMRI', 'NONE', 'MAGNITUDE']",123.240676,COL,"Boulevard de l Hopital 47,Paris,,FR,75013",Institute du Cerveau,IRM,,2D,3,Siemens,MAGNETOM Cima.X,GRAPPA,MR,,True,2,1,HFS,100,100,j,100,,1,1000,PHANTOM PHANTOM_TEST,C2P__cmrr_mbep2d_bold__p2_mb1,%CustomerSeq%\cmrr_mbep2d_bold,HC3-7,HeadNeck_64_CS,100,32,1.23,,FS,EP,,SK\SS,C2P__cmrr_mbep2d_bold__p2_mb1,8,"[177, -4924, 32, -1601, 55, 789, -198, 85]",2,"[0.605, 0, 0.7275, 0.1225, 0.8475, 0.2425, 0.97, 0.365, 1.09, 0.485]",syngo MR XA61,2,AWP213017,PHANTOM PHANTOM_TEST,"[0, 0, 0]",0.0534586,293.957,,baadcfa5-ca43-459f-b15a-e8d42493c82f||Sequence: R017 nxva61a/main r/ebb919c16; May 21 2024 10:49:50 by eja,
